jahr,bfs_nummer,gemeinde,ds10060_1_person,ds10060_2_personen,ds10060_3_personen,ds10060_4_personen,ds10060_5_personen,ds10060_6_oder_mehr_personen,ds10080_ausland,ds10080_schweiz,ds10180_anzahl,ds10200_falle,ds10200_flache_in_m2,ds10200_quadratmeterpreis_chf,ds10230_neu_erstellte_wohnungen,ds10580_steuerfuss_ertrag_juristische_personen_prozent,ds10580_steuerfuss_kapital_juristische_personen_prozent,ds10580_steuerfuss_natuerliche_personen_prozent,ds10580_steuersatz_ertrag_juristische_personen_prozent,ds10580_steuersatz_kapital_juristische_personen_promille,ds10630_anzahl_steuerpflichtige,ds10630_steuerbares_einkommen_chf,ds10680_anfangsbestand,ds10680_geburten,ds10680_todesfaelle,ds10680_zuzuege,ds10680_wegzuege,ds10680_wanderungssaldo,ds10680_endbestand,ds12070_falle,ds12070_flache_in_m2,ds12070_quadratmeterpreis_chf,ds12880_anzahl_bewilligungen,ds12900_anzahl_bauprojekte,ds13010_1_2,ds13010_3,ds13010_4,ds13010_5plus,ds13010_total,ds13030_andere_situation_unbekannt,ds13030_genossenschafter_innen,ds13030_hauseigentuemer_innen,ds13030_mieter_innen_oder_untermieter_innen,ds13030_stockwerk_wohnungseigentuemer_innen,ds13030_total
2010,2761,Aesch,0.0,0.0,0.0,0.0,0.0,0.0,2353.0,7874.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40894,87,60,732,739,85,40914,0.0,0.0,0.0,74.0,71.0,915.924131800659,1329.4115787239214,1644.7773318474983,2135.577993148387,1419.9320261204916,127.2045643832,43.2916761572,1461.6278347419,2366.0702269903,484.3123175622,4482.5066198348
2011,2761,Aesch,0.0,0.0,0.0,0.0,0.0,0.0,2375.0,7920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41149,95,69,789,758,105,41206,0.0,0.0,0.0,71.0,77.0,915.924131800659,1329.4115787239214,1644.7773318474983,2135.577993148387,1419.9320261204916,127.2045643832,43.2916761572,1461.6278347419,2366.0702269903,484.3123175622,4482.5066198348
2012,2761,Aesch,1317.0,1685.0,642.0,590.0,152.0,56.0,2385.0,7939.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41313,82,73,743,791,124,41273,0.0,0.0,0.0,58.0,54.0,915.924131800659,1329.4115787239214,1644.7773318474983,2135.577993148387,1419.9320261204916,127.2045643832,43.2916761572,1461.6278347419,2366.0702269903,484.3123175622,4482.5066198348
2013,2761,Aesch,1320.0,1659.0,653.0,584.0,157.0,56.0,2403.0,7879.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41130,89,86,770,776,106,41128,0.0,0.0,0.0,49.0,49.0,915.924131800659,1329.4115787239214,1644.7773318474983,2135.577993148387,1419.9320261204916,127.2045643832,43.2916761572,1461.6278347419,2366.0702269903,484.3123175622,4482.5066198348
2014,2761,Aesch,1308.0,1641.0,696.0,549.0,157.0,55.0,2439.0,7831.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41100,70,85,678,701,61,41062,0.0,0.0,0.0,43.0,49.0,915.924131800659,1329.4115787239214,1644.7773318474983,2135.577993148387,1419.9320261204916,127.2045643832,43.2916761572,1461.6278347419,2366.0702269903,484.3123175622,4482.5066198348
2015,2761,Aesch,1350.0,1681.0,654.0,561.0,148.0,53.0,2454.0,7776.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40905,91,72,745,739,102,40930,0.0,0.0,0.0,54.0,50.0,984.6266733169756,1298.8538621948674,1613.7124899709947,1978.1308536061376,1417.6280408139507,92.8402742828,0.0,1352.866639011,2578.942246152,544.35232457,4582.4128050129
2016,2761,Aesch,1395.0,1674.0,666.0,572.0,138.0,54.0,2481.0,7716.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40803,84,76,713,749,150,40775,0.0,0.0,0.0,50.0,53.0,984.6266733169756,1298.8538621948674,1613.7124899709947,1978.1308536061376,1417.6280408139507,92.8402742828,0.0,1352.866639011,2578.942246152,544.35232457,4582.4128050129
2017,2761,Aesch,1451.0,1689.0,661.0,575.0,146.0,44.0,2517.0,7762.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41085,81,87,730,666,70,41143,0.0,0.0,0.0,55.0,53.0,984.6266733169756,1298.8538621948674,1613.7124899709947,1978.1308536061376,1417.6280408139507,92.8402742828,0.0,1352.866639011,2578.942246152,544.35232457,4582.4128050129
2018,2761,Aesch,1456.0,1721.0,634.0,602.0,155.0,40.0,2566.0,7769.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41278,98,76,821,724,97,41397,0.0,0.0,0.0,43.0,41.0,984.6266733169756,1298.8538621948674,1613.7124899709947,1978.1308536061376,1417.6280408139507,92.8402742828,0.0,1352.866639011,2578.942246152,544.35232457,4582.4128050129
2019,2761,Aesch,1500.0,1746.0,627.0,581.0,153.0,46.0,2639.0,7767.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41610,68,83,847,802,97,41640,0.0,0.0,0.0,32.0,33.0,984.6266733169756,1298.8538621948674,1613.7124899709947,1978.1308536061376,1417.6280408139507,92.8402742828,0.0,1352.866639011,2578.942246152,544.35232457,4582.4128050129
