jahr,bfs_nummer,gemeinde,haushaltsgrosse,wert
2024,2783,Burg im Leimental,1_Person,43
2024,2783,Burg im Leimental,2_Personen,52
2024,2783,Burg im Leimental,3_Personen,10
2024,2783,Burg im Leimental,4_Personen,14
2024,2783,Burg im Leimental,5_Personen,6
2024,2783,Burg im Leimental,6_oder_mehr_Personen,3
2023,2783,Burg im Leimental,1_Person,36
2023,2783,Burg im Leimental,2_Personen,49
2023,2783,Burg im Leimental,3_Personen,13
2023,2783,Burg im Leimental,4_Personen,14
2023,2783,Burg im Leimental,5_Personen,6
2023,2783,Burg im Leimental,6_oder_mehr_Personen,3
2022,2783,Burg im Leimental,1_Person,38
2022,2783,Burg im Leimental,2_Personen,46
2022,2783,Burg im Leimental,3_Personen,10
2022,2783,Burg im Leimental,4_Personen,13
2022,2783,Burg im Leimental,5_Personen,7
2022,2783,Burg im Leimental,6_oder_mehr_Personen,3
2021,2783,Burg im Leimental,1_Person,36
2021,2783,Burg im Leimental,2_Personen,43
2021,2783,Burg im Leimental,3_Personen,11
2021,2783,Burg im Leimental,4_Personen,15
2021,2783,Burg im Leimental,5_Personen,7
2021,2783,Burg im Leimental,6_oder_mehr_Personen,3
2020,2783,Burg im Leimental,1_Person,38
2020,2783,Burg im Leimental,2_Personen,42
2020,2783,Burg im Leimental,3_Personen,13
2020,2783,Burg im Leimental,4_Personen,14
2020,2783,Burg im Leimental,5_Personen,9
2020,2783,Burg im Leimental,6_oder_mehr_Personen,2
2019,2783,Burg im Leimental,1_Person,39
2019,2783,Burg im Leimental,2_Personen,45
2019,2783,Burg im Leimental,3_Personen,11
2019,2783,Burg im Leimental,4_Personen,15
2019,2783,Burg im Leimental,5_Personen,8
2019,2783,Burg im Leimental,6_oder_mehr_Personen,1
2018,2783,Burg im Leimental,1_Person,35
2018,2783,Burg im Leimental,2_Personen,41
2018,2783,Burg im Leimental,3_Personen,8
2018,2783,Burg im Leimental,4_Personen,17
2018,2783,Burg im Leimental,5_Personen,8
2018,2783,Burg im Leimental,6_oder_mehr_Personen,1
2017,2783,Burg im Leimental,1_Person,40
2017,2783,Burg im Leimental,2_Personen,37
2017,2783,Burg im Leimental,3_Personen,9
2017,2783,Burg im Leimental,4_Personen,15
2017,2783,Burg im Leimental,5_Personen,8
2017,2783,Burg im Leimental,6_oder_mehr_Personen,2
2016,2783,Burg im Leimental,1_Person,40
2016,2783,Burg im Leimental,2_Personen,37
2016,2783,Burg im Leimental,3_Personen,10
2016,2783,Burg im Leimental,4_Personen,16
2016,2783,Burg im Leimental,5_Personen,8
2016,2783,Burg im Leimental,6_oder_mehr_Personen,1
2015,2783,Burg im Leimental,1_Person,36
2015,2783,Burg im Leimental,2_Personen,40
2015,2783,Burg im Leimental,3_Personen,11
2015,2783,Burg im Leimental,4_Personen,17
2015,2783,Burg im Leimental,5_Personen,7
2015,2783,Burg im Leimental,6_oder_mehr_Personen,1
2014,2783,Burg im Leimental,1_Person,35
2014,2783,Burg im Leimental,2_Personen,38
2014,2783,Burg im Leimental,3_Personen,13
2014,2783,Burg im Leimental,4_Personen,18
2014,2783,Burg im Leimental,5_Personen,5
2014,2783,Burg im Leimental,6_oder_mehr_Personen,2
2013,2783,Burg im Leimental,1_Person,36
2013,2783,Burg im Leimental,2_Personen,37
2013,2783,Burg im Leimental,3_Personen,13
2013,2783,Burg im Leimental,4_Personen,17
2013,2783,Burg im Leimental,5_Personen,3
2013,2783,Burg im Leimental,6_oder_mehr_Personen,2
2012,2783,Burg im Leimental,1_Person,34
2012,2783,Burg im Leimental,2_Personen,32
2012,2783,Burg im Leimental,3_Personen,15
2012,2783,Burg im Leimental,4_Personen,18
2012,2783,Burg im Leimental,5_Personen,2
2012,2783,Burg im Leimental,6_oder_mehr_Personen,4
2024,2761,Aesch (BL),1_Person,1769
2024,2764,Biel-Benken,1_Person,351
2024,2773,Reinach (BL),1_Person,3352
2024,2851,Kilchberg (BL),1_Person,15
2024,2857,Rickenbach (BL),1_Person,78
2024,2892,Oberdorf (BL),1_Person,353
2024,2761,Aesch (BL),2_Personen,1757
2024,2764,Biel-Benken,2_Personen,552
2024,2773,Reinach (BL),2_Personen,3358
2024,2851,Kilchberg (BL),2_Personen,36
2024,2857,Rickenbach (BL),2_Personen,101
2024,2892,Oberdorf (BL),2_Personen,373
2024,2761,Aesch (BL),3_Personen,693
2024,2764,Biel-Benken,3_Personen,214
2024,2773,Reinach (BL),3_Personen,1218
2024,2851,Kilchberg (BL),3_Personen,7
2024,2857,Rickenbach (BL),3_Personen,36
2024,2892,Oberdorf (BL),3_Personen,140
2024,2761,Aesch (BL),4_Personen,644
2024,2764,Biel-Benken,4_Personen,233
2024,2773,Reinach (BL),4_Personen,1188
2024,2851,Kilchberg (BL),4_Personen,7
2024,2857,Rickenbach (BL),4_Personen,28
2024,2892,Oberdorf (BL),4_Personen,143
2024,2761,Aesch (BL),5_Personen,164
2024,2764,Biel-Benken,5_Personen,67
2024,2773,Reinach (BL),5_Personen,283
2024,2851,Kilchberg (BL),5_Personen,5
2024,2857,Rickenbach (BL),5_Personen,9
2024,2892,Oberdorf (BL),5_Personen,56
2024,2761,Aesch (BL),6_oder_mehr_Personen,37
2024,2764,Biel-Benken,6_oder_mehr_Personen,14
2024,2773,Reinach (BL),6_oder_mehr_Personen,57
2024,2851,Kilchberg (BL),6_oder_mehr_Personen,3
2024,2857,Rickenbach (BL),6_oder_mehr_Personen,3
2024,2892,Oberdorf (BL),6_oder_mehr_Personen,26
2023,2761,Aesch (BL),1_Person,1622
2023,2764,Biel-Benken,1_Person,354
2023,2773,Reinach (BL),1_Person,3285
2023,2851,Kilchberg (BL),1_Person,16
2023,2857,Rickenbach (BL),1_Person,78
2023,2892,Oberdorf (BL),1_Person,360
2023,2761,Aesch (BL),2_Personen,1708
2023,2764,Biel-Benken,2_Personen,559
2023,2773,Reinach (BL),2_Personen,3310
2023,2851,Kilchberg (BL),2_Personen,33
2023,2857,Rickenbach (BL),2_Personen,95
2023,2892,Oberdorf (BL),2_Personen,382
2023,2761,Aesch (BL),3_Personen,668
2023,2764,Biel-Benken,3_Personen,217
2023,2773,Reinach (BL),3_Personen,1171
2023,2851,Kilchberg (BL),3_Personen,7
2023,2857,Rickenbach (BL),3_Personen,42
2023,2892,Oberdorf (BL),3_Personen,139
2023,2761,Aesch (BL),4_Personen,634
2023,2764,Biel-Benken,4_Personen,234
2023,2773,Reinach (BL),4_Personen,1156
2023,2851,Kilchberg (BL),4_Personen,7
2023,2857,Rickenbach (BL),4_Personen,28
2023,2892,Oberdorf (BL),4_Personen,141
2023,2761,Aesch (BL),5_Personen,160
2023,2764,Biel-Benken,5_Personen,71
2023,2773,Reinach (BL),5_Personen,279
2023,2851,Kilchberg (BL),5_Personen,6
2023,2857,Rickenbach (BL),5_Personen,8
2023,2892,Oberdorf (BL),5_Personen,45
2023,2761,Aesch (BL),6_oder_mehr_Personen,41
2023,2764,Biel-Benken,6_oder_mehr_Personen,18
2023,2773,Reinach (BL),6_oder_mehr_Personen,63
2023,2851,Kilchberg (BL),6_oder_mehr_Personen,2
2023,2857,Rickenbach (BL),6_oder_mehr_Personen,3
2023,2892,Oberdorf (BL),6_oder_mehr_Personen,26
2022,2761,Aesch (BL),1_Person,1606
2022,2764,Biel-Benken,1_Person,348
2022,2773,Reinach (BL),1_Person,3172
2022,2851,Kilchberg (BL),1_Person,16
2022,2857,Rickenbach (BL),1_Person,77
2022,2892,Oberdorf (BL),1_Person,326
2022,2761,Aesch (BL),2_Personen,1687
2022,2764,Biel-Benken,2_Personen,569
2022,2773,Reinach (BL),2_Personen,3268
2022,2851,Kilchberg (BL),2_Personen,31
2022,2857,Rickenbach (BL),2_Personen,98
2022,2892,Oberdorf (BL),2_Personen,371
2022,2761,Aesch (BL),3_Personen,658
2022,2764,Biel-Benken,3_Personen,219
2022,2773,Reinach (BL),3_Personen,1131
2022,2851,Kilchberg (BL),3_Personen,8
2022,2857,Rickenbach (BL),3_Personen,35
2022,2892,Oberdorf (BL),3_Personen,122
2022,2761,Aesch (BL),4_Personen,627
2022,2764,Biel-Benken,4_Personen,228
2022,2773,Reinach (BL),4_Personen,1103
2022,2851,Kilchberg (BL),4_Personen,7
2022,2857,Rickenbach (BL),4_Personen,34
2022,2892,Oberdorf (BL),4_Personen,136
2022,2761,Aesch (BL),5_Personen,155
2022,2764,Biel-Benken,5_Personen,72
2022,2773,Reinach (BL),5_Personen,273
2022,2851,Kilchberg (BL),5_Personen,5
2022,2857,Rickenbach (BL),5_Personen,9
2022,2892,Oberdorf (BL),5_Personen,45
2022,2761,Aesch (BL),6_oder_mehr_Personen,40
2022,2764,Biel-Benken,6_oder_mehr_Personen,19
2022,2773,Reinach (BL),6_oder_mehr_Personen,68
2022,2851,Kilchberg (BL),6_oder_mehr_Personen,2
2022,2857,Rickenbach (BL),6_oder_mehr_Personen,3
2022,2892,Oberdorf (BL),6_oder_mehr_Personen,29
2021,2761,Aesch (BL),1_Person,1575
2021,2764,Biel-Benken,1_Person,347
2021,2773,Reinach (BL),1_Person,3061
2021,2851,Kilchberg (BL),1_Person,17
2021,2857,Rickenbach (BL),1_Person,73
2021,2892,Oberdorf (BL),1_Person,333
2021,2761,Aesch (BL),2_Personen,1703
2021,2764,Biel-Benken,2_Personen,581
2021,2773,Reinach (BL),2_Personen,3230
2021,2851,Kilchberg (BL),2_Personen,28
2021,2857,Rickenbach (BL),2_Personen,99
2021,2892,Oberdorf (BL),2_Personen,365
2021,2761,Aesch (BL),3_Personen,653
2021,2764,Biel-Benken,3_Personen,217
2021,2773,Reinach (BL),3_Personen,1132
2021,2851,Kilchberg (BL),3_Personen,6
2021,2857,Rickenbach (BL),3_Personen,35
2021,2892,Oberdorf (BL),3_Personen,126
2021,2761,Aesch (BL),4_Personen,614
2021,2764,Biel-Benken,4_Personen,228
2021,2773,Reinach (BL),4_Personen,1078
2021,2851,Kilchberg (BL),4_Personen,6
2021,2857,Rickenbach (BL),4_Personen,38
2021,2892,Oberdorf (BL),4_Personen,137
2021,2761,Aesch (BL),5_Personen,152
2021,2764,Biel-Benken,5_Personen,70
2021,2773,Reinach (BL),5_Personen,262
2021,2851,Kilchberg (BL),5_Personen,6
2021,2857,Rickenbach (BL),5_Personen,9
2021,2892,Oberdorf (BL),5_Personen,53
2021,2761,Aesch (BL),6_oder_mehr_Personen,39
2021,2764,Biel-Benken,6_oder_mehr_Personen,22
2021,2773,Reinach (BL),6_oder_mehr_Personen,71
2021,2851,Kilchberg (BL),6_oder_mehr_Personen,2
2021,2857,Rickenbach (BL),6_oder_mehr_Personen,4
2021,2892,Oberdorf (BL),6_oder_mehr_Personen,28
2020,2761,Aesch (BL),1_Person,1510
2020,2764,Biel-Benken,1_Person,333
2020,2773,Reinach (BL),1_Person,2980
2020,2851,Kilchberg (BL),1_Person,15
2020,2857,Rickenbach (BL),1_Person,76
2020,2892,Oberdorf (BL),1_Person,314
2020,2761,Aesch (BL),2_Personen,1699
2020,2764,Biel-Benken,2_Personen,582
2020,2773,Reinach (BL),2_Personen,3231
2020,2851,Kilchberg (BL),2_Personen,27
2020,2857,Rickenbach (BL),2_Personen,92
2020,2892,Oberdorf (BL),2_Personen,370
2020,2761,Aesch (BL),3_Personen,628
2020,2764,Biel-Benken,3_Personen,208
2020,2773,Reinach (BL),3_Personen,1132
2020,2851,Kilchberg (BL),3_Personen,8
2020,2857,Rickenbach (BL),3_Personen,38
2020,2892,Oberdorf (BL),3_Personen,123
2020,2761,Aesch (BL),4_Personen,600
2020,2764,Biel-Benken,4_Personen,244
2020,2773,Reinach (BL),4_Personen,1069
2020,2851,Kilchberg (BL),4_Personen,6
2020,2857,Rickenbach (BL),4_Personen,35
2020,2892,Oberdorf (BL),4_Personen,140
2020,2761,Aesch (BL),5_Personen,152
2020,2764,Biel-Benken,5_Personen,65
2020,2773,Reinach (BL),5_Personen,255
2020,2851,Kilchberg (BL),5_Personen,7
2020,2857,Rickenbach (BL),5_Personen,13
2020,2892,Oberdorf (BL),5_Personen,49
2020,2761,Aesch (BL),6_oder_mehr_Personen,42
2020,2764,Biel-Benken,6_oder_mehr_Personen,20
2020,2773,Reinach (BL),6_oder_mehr_Personen,73
2020,2851,Kilchberg (BL),6_oder_mehr_Personen,1
2020,2857,Rickenbach (BL),6_oder_mehr_Personen,4
2020,2892,Oberdorf (BL),6_oder_mehr_Personen,26
2019,2761,Aesch (BL),1_Person,1500
2019,2764,Biel-Benken,1_Person,335
2019,2773,Reinach (BL),1_Person,2894
2019,2851,Kilchberg (BL),1_Person,11
2019,2857,Rickenbach (BL),1_Person,71
2019,2892,Oberdorf (BL),1_Person,291
2019,2761,Aesch (BL),2_Personen,1746
2019,2764,Biel-Benken,2_Personen,584
2019,2773,Reinach (BL),2_Personen,3199
2019,2851,Kilchberg (BL),2_Personen,30
2019,2857,Rickenbach (BL),2_Personen,93
2019,2892,Oberdorf (BL),2_Personen,363
2019,2761,Aesch (BL),3_Personen,627
2019,2764,Biel-Benken,3_Personen,200
2019,2773,Reinach (BL),3_Personen,1146
2019,2851,Kilchberg (BL),3_Personen,5
2019,2857,Rickenbach (BL),3_Personen,41
2019,2892,Oberdorf (BL),3_Personen,140
2019,2761,Aesch (BL),4_Personen,581
2019,2764,Biel-Benken,4_Personen,230
2019,2773,Reinach (BL),4_Personen,1091
2019,2851,Kilchberg (BL),4_Personen,9
2019,2857,Rickenbach (BL),4_Personen,33
2019,2892,Oberdorf (BL),4_Personen,130
2019,2761,Aesch (BL),5_Personen,153
2019,2764,Biel-Benken,5_Personen,65
2019,2773,Reinach (BL),5_Personen,250
2019,2851,Kilchberg (BL),5_Personen,6
2019,2857,Rickenbach (BL),5_Personen,9
2019,2892,Oberdorf (BL),5_Personen,46
2019,2761,Aesch (BL),6_oder_mehr_Personen,46
2019,2764,Biel-Benken,6_oder_mehr_Personen,18
2019,2773,Reinach (BL),6_oder_mehr_Personen,76
2019,2851,Kilchberg (BL),6_oder_mehr_Personen,1
2019,2857,Rickenbach (BL),6_oder_mehr_Personen,4
2019,2892,Oberdorf (BL),6_oder_mehr_Personen,27
2018,2761,Aesch (BL),1_Person,1456
2018,2764,Biel-Benken,1_Person,317
2018,2773,Reinach (BL),1_Person,2849
2018,2851,Kilchberg (BL),1_Person,11
2018,2857,Rickenbach (BL),1_Person,73
2018,2892,Oberdorf (BL),1_Person,272
2018,2761,Aesch (BL),2_Personen,1721
2018,2764,Biel-Benken,2_Personen,578
2018,2773,Reinach (BL),2_Personen,3174
2018,2851,Kilchberg (BL),2_Personen,27
2018,2857,Rickenbach (BL),2_Personen,92
2018,2892,Oberdorf (BL),2_Personen,372
2018,2761,Aesch (BL),3_Personen,634
2018,2764,Biel-Benken,3_Personen,202
2018,2773,Reinach (BL),3_Personen,1136
2018,2851,Kilchberg (BL),3_Personen,6
2018,2857,Rickenbach (BL),3_Personen,44
2018,2892,Oberdorf (BL),3_Personen,136
2018,2761,Aesch (BL),4_Personen,602
2018,2764,Biel-Benken,4_Personen,226
2018,2773,Reinach (BL),4_Personen,1096
2018,2851,Kilchberg (BL),4_Personen,11
2018,2857,Rickenbach (BL),4_Personen,34
2018,2892,Oberdorf (BL),4_Personen,132
2018,2761,Aesch (BL),5_Personen,155
2018,2764,Biel-Benken,5_Personen,65
2018,2773,Reinach (BL),5_Personen,258
2018,2851,Kilchberg (BL),5_Personen,5
2018,2857,Rickenbach (BL),5_Personen,10
2018,2892,Oberdorf (BL),5_Personen,51
2018,2761,Aesch (BL),6_oder_mehr_Personen,40
2018,2764,Biel-Benken,6_oder_mehr_Personen,15
2018,2773,Reinach (BL),6_oder_mehr_Personen,87
2018,2851,Kilchberg (BL),6_oder_mehr_Personen,1
2018,2857,Rickenbach (BL),6_oder_mehr_Personen,3
2018,2892,Oberdorf (BL),6_oder_mehr_Personen,27
2017,2761,Aesch (BL),1_Person,1451
2017,2764,Biel-Benken,1_Person,311
2017,2773,Reinach (BL),1_Person,2809
2017,2851,Kilchberg (BL),1_Person,11
2017,2857,Rickenbach (BL),1_Person,66
2017,2892,Oberdorf (BL),1_Person,280
2017,2761,Aesch (BL),2_Personen,1689
2017,2764,Biel-Benken,2_Personen,576
2017,2773,Reinach (BL),2_Personen,3159
2017,2851,Kilchberg (BL),2_Personen,28
2017,2857,Rickenbach (BL),2_Personen,97
2017,2892,Oberdorf (BL),2_Personen,361
2017,2761,Aesch (BL),3_Personen,661
2017,2764,Biel-Benken,3_Personen,205
2017,2773,Reinach (BL),3_Personen,1115
2017,2851,Kilchberg (BL),3_Personen,9
2017,2857,Rickenbach (BL),3_Personen,45
2017,2892,Oberdorf (BL),3_Personen,141
2017,2761,Aesch (BL),4_Personen,575
2017,2764,Biel-Benken,4_Personen,218
2017,2773,Reinach (BL),4_Personen,1122
2017,2851,Kilchberg (BL),4_Personen,9
2017,2857,Rickenbach (BL),4_Personen,29
2017,2892,Oberdorf (BL),4_Personen,126
2017,2761,Aesch (BL),5_Personen,146
