jahr,gemeinde_nummer,gemeinde,bfs_bezirk,bezirk,nationalitaet_code,nationalitaet,anzahl_personen
1994,2783,Burg im Leimental,1302,Bezirk Laufen,1,Schweiz,205
1994,2783,Burg im Leimental,1302,Bezirk Laufen,2,Ausland,7
1995,2783,Burg im Leimental,1302,Bezirk Laufen,1,Schweiz,204
1995,2783,Burg im Leimental,1302,Bezirk Laufen,2,Ausland,8
1996,2783,Burg im Leimental,1302,Bezirk Laufen,1,Schweiz,211
1996,2783,Burg im Leimental,1302,Bezirk Laufen,2,Ausland,9
1997,2783,Burg im Leimental,1302,Bezirk Laufen,1,Schweiz,212
1997,2783,Burg im Leimental,1302,Bezirk Laufen,2,Ausland,10
1998,2783,Burg im Leimental,1302,Bezirk Laufen,1,Schweiz,218
1998,2783,Burg im Leimental,1302,Bezirk Laufen,2,Ausland,16
1999,2783,Burg im Leimental,1302,Bezirk Laufen,1,Schweiz,224
1999,2783,Burg im Leimental,1302,Bezirk Laufen,2,Ausland,18
2000,2783,Burg im Leimental,1302,Bezirk Laufen,1,Schweiz,226
2000,2783,Burg im Leimental,1302,Bezirk Laufen,2,Ausland,18
2001,2783,Burg im Leimental,1302,Bezirk Laufen,1,Schweiz,225
2001,2783,Burg im Leimental,1302,Bezirk Laufen,2,Ausland,20
2002,2783,Burg im Leimental,1302,Bezirk Laufen,1,Schweiz,235
2002,2783,Burg im Leimental,1302,Bezirk Laufen,2,Ausland,14
2003,2783,Burg im Leimental,1302,Bezirk Laufen,1,Schweiz,233
2003,2783,Burg im Leimental,1302,Bezirk Laufen,2,Ausland,17
2004,2783,Burg im Leimental,1302,Bezirk Laufen,1,Schweiz,226
2004,2783,Burg im Leimental,1302,Bezirk Laufen,2,Ausland,19
2005,2783,Burg im Leimental,1302,Bezirk Laufen,1,Schweiz,221
2005,2783,Burg im Leimental,1302,Bezirk Laufen,2,Ausland,20
2006,2783,Burg im Leimental,1302,Bezirk Laufen,1,Schweiz,220
2006,2783,Burg im Leimental,1302,Bezirk Laufen,2,Ausland,22
2007,2783,Burg im Leimental,1302,Bezirk Laufen,1,Schweiz,207
2007,2783,Burg im Leimental,1302,Bezirk Laufen,2,Ausland,18
2008,2783,Burg im Leimental,1302,Bezirk Laufen,1,Schweiz,206
2008,2783,Burg im Leimental,1302,Bezirk Laufen,2,Ausland,24
2009,2783,Burg im Leimental,1302,Bezirk Laufen,1,Schweiz,209
2009,2783,Burg im Leimental,1302,Bezirk Laufen,2,Ausland,27
2010,2783,Burg im Leimental,1302,Bezirk Laufen,1,Schweiz,219
2010,2783,Burg im Leimental,1302,Bezirk Laufen,2,Ausland,25
2011,2783,Burg im Leimental,1302,Bezirk Laufen,1,Schweiz,228
2011,2783,Burg im Leimental,1302,Bezirk Laufen,2,Ausland,23
2012,2783,Burg im Leimental,1302,Bezirk Laufen,1,Schweiz,235
2012,2783,Burg im Leimental,1302,Bezirk Laufen,2,Ausland,25
2013,2783,Burg im Leimental,1302,Bezirk Laufen,1,Schweiz,228
2013,2783,Burg im Leimental,1302,Bezirk Laufen,2,Ausland,24
2014,2783,Burg im Leimental,1302,Bezirk Laufen,1,Schweiz,236
2014,2783,Burg im Leimental,1302,Bezirk Laufen,2,Ausland,23
2015,2783,Burg im Leimental,1302,Bezirk Laufen,1,Schweiz,241
2015,2783,Burg im Leimental,1302,Bezirk Laufen,2,Ausland,20
2016,2783,Burg im Leimental,1302,Bezirk Laufen,1,Schweiz,235
2016,2783,Burg im Leimental,1302,Bezirk Laufen,2,Ausland,24
2017,2783,Burg im Leimental,1302,Bezirk Laufen,1,Schweiz,229
2017,2783,Burg im Leimental,1302,Bezirk Laufen,2,Ausland,34
2018,2783,Burg im Leimental,1302,Bezirk Laufen,1,Schweiz,232
2018,2783,Burg im Leimental,1302,Bezirk Laufen,2,Ausland,33
2019,2783,Burg im Leimental,1302,Bezirk Laufen,1,Schweiz,241
2019,2783,Burg im Leimental,1302,Bezirk Laufen,2,Ausland,32
2020,2783,Burg im Leimental,1302,Bezirk Laufen,1,Schweiz,245
2020,2783,Burg im Leimental,1302,Bezirk Laufen,2,Ausland,33
2021,2783,Burg im Leimental,1302,Bezirk Laufen,1,Schweiz,244
2021,2783,Burg im Leimental,1302,Bezirk Laufen,2,Ausland,36
2022,2783,Burg im Leimental,1302,Bezirk Laufen,1,Schweiz,237
2022,2783,Burg im Leimental,1302,Bezirk Laufen,2,Ausland,38
2023,2783,Burg im Leimental,1302,Bezirk Laufen,1,Schweiz,243
2023,2783,Burg im Leimental,1302,Bezirk Laufen,2,Ausland,39
2024,2783,Burg im Leimental,1302,Bezirk Laufen,1,Schweiz,251
2024,2783,Burg im Leimental,1302,Bezirk Laufen,2,Ausland,37
1980,2761,Aesch (BL),1301,Bezirk Arlesheim,1,Schweiz,6397
1980,2761,Aesch (BL),1301,Bezirk Arlesheim,2,Ausland,1589
1980,2773,Reinach (BL),1301,Bezirk Arlesheim,1,Schweiz,15644
1980,2773,Reinach (BL),1301,Bezirk Arlesheim,2,Ausland,2171
1980,2851,Kilchberg (BL),1304,Bezirk Sissach,1,Schweiz,102
1980,2851,Kilchberg (BL),1304,Bezirk Sissach,2,Ausland,2
1980,2857,Rickenbach (BL),1304,Bezirk Sissach,1,Schweiz,353
1980,2857,Rickenbach (BL),1304,Bezirk Sissach,2,Ausland,18
1980,2892,Oberdorf (BL),1305,Bezirk Waldenburg,1,Schweiz,1743
1980,2892,Oberdorf (BL),1305,Bezirk Waldenburg,2,Ausland,244
1981,2761,Aesch (BL),1301,Bezirk Arlesheim,1,Schweiz,6437
1981,2761,Aesch (BL),1301,Bezirk Arlesheim,2,Ausland,1565
1981,2773,Reinach (BL),1301,Bezirk Arlesheim,1,Schweiz,15855
1981,2773,Reinach (BL),1301,Bezirk Arlesheim,2,Ausland,2204
1981,2851,Kilchberg (BL),1304,Bezirk Sissach,1,Schweiz,107
1981,2851,Kilchberg (BL),1304,Bezirk Sissach,2,Ausland,2
1981,2857,Rickenbach (BL),1304,Bezirk Sissach,1,Schweiz,348
1981,2857,Rickenbach (BL),1304,Bezirk Sissach,2,Ausland,23
1981,2892,Oberdorf (BL),1305,Bezirk Waldenburg,1,Schweiz,1739
1981,2892,Oberdorf (BL),1305,Bezirk Waldenburg,2,Ausland,248
1982,2761,Aesch (BL),1301,Bezirk Arlesheim,1,Schweiz,6593
1982,2761,Aesch (BL),1301,Bezirk Arlesheim,2,Ausland,1584
1982,2773,Reinach (BL),1301,Bezirk Arlesheim,1,Schweiz,15828
1982,2773,Reinach (BL),1301,Bezirk Arlesheim,2,Ausland,2227
1982,2851,Kilchberg (BL),1304,Bezirk Sissach,1,Schweiz,113
1982,2851,Kilchberg (BL),1304,Bezirk Sissach,2,Ausland,1
1982,2857,Rickenbach (BL),1304,Bezirk Sissach,1,Schweiz,352
1982,2857,Rickenbach (BL),1304,Bezirk Sissach,2,Ausland,19
1982,2892,Oberdorf (BL),1305,Bezirk Waldenburg,1,Schweiz,1721
1982,2892,Oberdorf (BL),1305,Bezirk Waldenburg,2,Ausland,254
1983,2761,Aesch (BL),1301,Bezirk Arlesheim,1,Schweiz,6812
1983,2761,Aesch (BL),1301,Bezirk Arlesheim,2,Ausland,1591
1983,2773,Reinach (BL),1301,Bezirk Arlesheim,1,Schweiz,15865
1983,2773,Reinach (BL),1301,Bezirk Arlesheim,2,Ausland,2140
1983,2851,Kilchberg (BL),1304,Bezirk Sissach,1,Schweiz,114
1983,2851,Kilchberg (BL),1304,Bezirk Sissach,2,Ausland,1
1983,2857,Rickenbach (BL),1304,Bezirk Sissach,1,Schweiz,364
1983,2857,Rickenbach (BL),1304,Bezirk Sissach,2,Ausland,18
1983,2892,Oberdorf (BL),1305,Bezirk Waldenburg,1,Schweiz,1693
1983,2892,Oberdorf (BL),1305,Bezirk Waldenburg,2,Ausland,255
1984,2761,Aesch (BL),1301,Bezirk Arlesheim,1,Schweiz,7054
1984,2761,Aesch (BL),1301,Bezirk Arlesheim,2,Ausland,1610
1984,2773,Reinach (BL),1301,Bezirk Arlesheim,1,Schweiz,15967
1984,2773,Reinach (BL),1301,Bezirk Arlesheim,2,Ausland,2154
1984,2851,Kilchberg (BL),1304,Bezirk Sissach,1,Schweiz,113
1984,2851,Kilchberg (BL),1304,Bezirk Sissach,2,Ausland,0
1984,2857,Rickenbach (BL),1304,Bezirk Sissach,1,Schweiz,374
1984,2857,Rickenbach (BL),1304,Bezirk Sissach,2,Ausland,18
1984,2892,Oberdorf (BL),1305,Bezirk Waldenburg,1,Schweiz,1705
1984,2892,Oberdorf (BL),1305,Bezirk Waldenburg,2,Ausland,253
1985,2761,Aesch (BL),1301,Bezirk Arlesheim,1,Schweiz,7226
1985,2761,Aesch (BL),1301,Bezirk Arlesheim,2,Ausland,1633
1985,2773,Reinach (BL),1301,Bezirk Arlesheim,1,Schweiz,16031
1985,2773,Reinach (BL),1301,Bezirk Arlesheim,2,Ausland,2131
1985,2851,Kilchberg (BL),1304,Bezirk Sissach,1,Schweiz,113
1985,2851,Kilchberg (BL),1304,Bezirk Sissach,2,Ausland,0
1985,2857,Rickenbach (BL),1304,Bezirk Sissach,1,Schweiz,384
1985,2857,Rickenbach (BL),1304,Bezirk Sissach,2,Ausland,20
1985,2892,Oberdorf (BL),1305,Bezirk Waldenburg,1,Schweiz,1707
1985,2892,Oberdorf (BL),1305,Bezirk Waldenburg,2,Ausland,251
1986,2761,Aesch (BL),1301,Bezirk Arlesheim,1,Schweiz,7337
1986,2761,Aesch (BL),1301,Bezirk Arlesheim,2,Ausland,1677
1986,2773,Reinach (BL),1301,Bezirk Arlesheim,1,Schweiz,15966
1986,2773,Reinach (BL),1301,Bezirk Arlesheim,2,Ausland,2078
1986,2851,Kilchberg (BL),1304,Bezirk Sissach,1,Schweiz,113
1986,2851,Kilchberg (BL),1304,Bezirk Sissach,2,Ausland,0
1986,2857,Rickenbach (BL),1304,Bezirk Sissach,1,Schweiz,388
1986,2857,Rickenbach (BL),1304,Bezirk Sissach,2,Ausland,20
1986,2892,Oberdorf (BL),1305,Bezirk Waldenburg,1,Schweiz,1709
1986,2892,Oberdorf (BL),1305,Bezirk Waldenburg,2,Ausland,254
1987,2761,Aesch (BL),1301,Bezirk Arlesheim,1,Schweiz,7502
1987,2761,Aesch (BL),1301,Bezirk Arlesheim,2,Ausland,1730
1987,2773,Reinach (BL),1301,Bezirk Arlesheim,1,Schweiz,15948
1987,2773,Reinach (BL),1301,Bezirk Arlesheim,2,Ausland,2100
1987,2851,Kilchberg (BL),1304,Bezirk Sissach,1,Schweiz,114
1987,2851,Kilchberg (BL),1304,Bezirk Sissach,2,Ausland,0
1987,2857,Rickenbach (BL),1304,Bezirk Sissach,1,Schweiz,380
1987,2857,Rickenbach (BL),1304,Bezirk Sissach,2,Ausland,18
1987,2892,Oberdorf (BL),1305,Bezirk Waldenburg,1,Schweiz,1711
1987,2892,Oberdorf (BL),1305,Bezirk Waldenburg,2,Ausland,257
1988,2761,Aesch (BL),1301,Bezirk Arlesheim,1,Schweiz,7700
1988,2761,Aesch (BL),1301,Bezirk Arlesheim,2,Ausland,1819
1988,2773,Reinach (BL),1301,Bezirk Arlesheim,1,Schweiz,15902
1988,2773,Reinach (BL),1301,Bezirk Arlesheim,2,Ausland,2202
1988,2851,Kilchberg (BL),1304,Bezirk Sissach,1,Schweiz,111
1988,2851,Kilchberg (BL),1304,Bezirk Sissach,2,Ausland,0
1988,2857,Rickenbach (BL),1304,Bezirk Sissach,1,Schweiz,380
1988,2857,Rickenbach (BL),1304,Bezirk Sissach,2,Ausland,21
1988,2892,Oberdorf (BL),1305,Bezirk Waldenburg,1,Schweiz,1737
1988,2892,Oberdorf (BL),1305,Bezirk Waldenburg,2,Ausland,270
1989,2761,Aesch (BL),1301,Bezirk Arlesheim,1,Schweiz,7802
1989,2761,Aesch (BL),1301,Bezirk Arlesheim,2,Ausland,1855
1989,2773,Reinach (BL),1301,Bezirk Arlesheim,1,Schweiz,15942
1989,2773,Reinach (BL),1301,Bezirk Arlesheim,2,Ausland,2226
1989,2851,Kilchberg (BL),1304,Bezirk Sissach,1,Schweiz,106
1989,2851,Kilchberg (BL),1304,Bezirk Sissach,2,Ausland,0
1989,2857,Rickenbach (BL),1304,Bezirk Sissach,1,Schweiz,381
1989,2857,Rickenbach (BL),1304,Bezirk Sissach,2,Ausland,28
1989,2892,Oberdorf (BL),1305,Bezirk Waldenburg,1,Schweiz,1778
1989,2892,Oberdorf (BL),1305,Bezirk Waldenburg,2,Ausland,235
1990,2761,Aesch (BL),1301,Bezirk Arlesheim,1,Schweiz,7785
1990,2761,Aesch (BL),1301,Bezirk Arlesheim,2,Ausland,1905
1990,2773,Reinach (BL),1301,Bezirk Arlesheim,1,Schweiz,15963
1990,2773,Reinach (BL),1301,Bezirk Arlesheim,2,Ausland,2264
1990,2851,Kilchberg (BL),1304,Bezirk Sissach,1,Schweiz,104
1990,2851,Kilchberg (BL),1304,Bezirk Sissach,2,Ausland,0
1990,2857,Rickenbach (BL),1304,Bezirk Sissach,1,Schweiz,394
1990,2857,Rickenbach (BL),1304,Bezirk Sissach,2,Ausland,39
1990,2892,Oberdorf (BL),1305,Bezirk Waldenburg,1,Schweiz,1773
1990,2892,Oberdorf (BL),1305,Bezirk Waldenburg,2,Ausland,248
1991,2761,Aesch (BL),1301,Bezirk Arlesheim,1,Schweiz,7734
1991,2761,Aesch (BL),1301,Bezirk Arlesheim,2,Ausland,1960
1991,2773,Reinach (BL),1301,Bezirk Arlesheim,1,Schweiz,16007
1991,2773,Reinach (BL),1301,Bezirk Arlesheim,2,Ausland,2371
1991,2851,Kilchberg (BL),1304,Bezirk Sissach,1,Schweiz,104
1991,2851,Kilchberg (BL),1304,Bezirk Sissach,2,Ausland,0
