jahr,bfs_nummer,bfs_bezeichnung,administrative_ebene,indikator,wirtschaftssektor,anzahl
2019,2783,Burg im Leimental,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2019,2783,Burg im Leimental,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2019,2783,Burg im Leimental,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2019,2783,Burg im Leimental,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,0
2018,2783,Burg im Leimental,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2018,2783,Burg im Leimental,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2018,2783,Burg im Leimental,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2018,2783,Burg im Leimental,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,0
2017,2783,Burg im Leimental,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2017,2783,Burg im Leimental,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,0
2017,2783,Burg im Leimental,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2017,2783,Burg im Leimental,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2016,2783,Burg im Leimental,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2015,2783,Burg im Leimental,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2015,2783,Burg im Leimental,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,0
2015,2783,Burg im Leimental,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2015,2783,Burg im Leimental,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,0
2014,2783,Burg im Leimental,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2014,2783,Burg im Leimental,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2014,2783,Burg im Leimental,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2014,2783,Burg im Leimental,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2023,2783,Burg im Leimental,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2023,2783,Burg im Leimental,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2022,2783,Burg im Leimental,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2022,2783,Burg im Leimental,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,0
2021,2783,Burg im Leimental,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2021,2783,Burg im Leimental,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2021,2783,Burg im Leimental,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2021,2783,Burg im Leimental,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,0
2020,2783,Burg im Leimental,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,0
2020,2783,Burg im Leimental,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2020,2783,Burg im Leimental,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,0
2020,2783,Burg im Leimental,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2016,2783,Burg im Leimental,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,0
2016,2783,Burg im Leimental,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2016,2783,Burg im Leimental,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,0
2013,2783,Burg im Leimental,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2013,2783,Burg im Leimental,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,0
2013,2783,Burg im Leimental,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2013,2783,Burg im Leimental,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2019,2857,Rickenbach (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2019,2857,Rickenbach (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,5
2019,2857,Rickenbach (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2019,2857,Rickenbach (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2018,2857,Rickenbach (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2018,2857,Rickenbach (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,5
2018,2857,Rickenbach (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2018,2857,Rickenbach (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2017,2857,Rickenbach (BL),Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2017,2857,Rickenbach (BL),Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2017,2857,Rickenbach (BL),Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2017,2857,Rickenbach (BL),Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
