jahr,bfs_nummer,gemeinde,neu_erstellte_wohnungen
1994,2764,Biel-Benken,13
1994,2851,Kilchberg (BL),0
1995,2764,Biel-Benken,16
1995,2851,Kilchberg (BL),2
1996,2764,Biel-Benken,44
1996,2851,Kilchberg (BL),1
1997,2764,Biel-Benken,38
1997,2851,Kilchberg (BL),4
1998,2764,Biel-Benken,32
1998,2851,Kilchberg (BL),1
1999,2764,Biel-Benken,29
1999,2851,Kilchberg (BL),1
2000,2764,Biel-Benken,27
2000,2851,Kilchberg (BL),0
2001,2764,Biel-Benken,29
2001,2851,Kilchberg (BL),0
2002,2764,Biel-Benken,14
2002,2851,Kilchberg (BL),0
2003,2764,Biel-Benken,16
2003,2851,Kilchberg (BL),0
2004,2764,Biel-Benken,19
2004,2851,Kilchberg (BL),1
2005,2764,Biel-Benken,51
2005,2851,Kilchberg (BL),0
2006,2764,Biel-Benken,37
2006,2851,Kilchberg (BL),2
2007,2764,Biel-Benken,14
2007,2851,Kilchberg (BL),2
2008,2764,Biel-Benken,14
2008,2851,Kilchberg (BL),1
2009,2764,Biel-Benken,32
2009,2851,Kilchberg (BL),1
2010,2764,Biel-Benken,26
2010,2851,Kilchberg (BL),2
2011,2764,Biel-Benken,12
2011,2851,Kilchberg (BL),2
2012,2764,Biel-Benken,15
2012,2851,Kilchberg (BL),1
2013,2764,Biel-Benken,34
2013,2851,Kilchberg (BL),1
2014,2764,Biel-Benken,49
2014,2851,Kilchberg (BL),2
2015,2764,Biel-Benken,24
2015,2851,Kilchberg (BL),0
2016,2764,Biel-Benken,8
2016,2851,Kilchberg (BL),0
2017,2764,Biel-Benken,18
2017,2851,Kilchberg (BL),1
2018,2764,Biel-Benken,8
2018,2851,Kilchberg (BL),0
2019,2764,Biel-Benken,17
2019,2851,Kilchberg (BL),3
2020,2764,Biel-Benken,7
2020,2851,Kilchberg (BL),2
2021,2764,Biel-Benken,11
2021,2851,Kilchberg (BL),0
2022,2764,Biel-Benken,0
2022,2851,Kilchberg (BL),1
2023,2764,Biel-Benken,9
2023,2851,Kilchberg (BL),1
2024,2764,Biel-Benken,5
2024,2851,Kilchberg (BL),1
1994,2762,Allschwil,50
1994,2763,Arlesheim,40
1994,2765,Binningen,104
1994,2766,Birsfelden,12
1994,2767,Bottmingen,8
1994,2768,Ettingen,11
1994,2769,Münchenstein,31
1994,2770,Muttenz,29
1994,2772,Pfeffingen,30
1994,2774,Schönenbuch,14
1994,2775,Therwil,32
1994,2781,Blauen,5
1994,2782,Brislach,28
1994,2784,Dittingen,16
1994,2785,Duggingen,26
1994,2786,Grellingen,2
1994,2787,Laufen,30
1994,2788,Liesberg,12
1994,2789,Nenzlingen,2
1994,2790,Roggenburg,4
1994,2791,Röschenz,23
1994,2792,Wahlen,21
1994,2821,Arisdorf,17
1994,2822,Augst,2
1994,2823,Bubendorf,74
1994,2824,Frenkendorf,51
1994,2825,Füllinsdorf,13
1994,2826,Giebenach,27
1994,2827,Hersberg,2
1994,2828,Lausen,10
1994,2829,Liestal,47
1994,2830,Lupsingen,15
1994,2831,Pratteln,30
1994,2832,Ramlinsburg,2
1994,2833,Seltisberg,13
1994,2841,Anwil,2
1994,2842,Böckten,0
1994,2843,Buckten,0
1994,2844,Buus,6
1994,2845,Diepflingen,2
1994,2846,Gelterkinden,35
1994,2847,Häfelfingen,0
1994,2848,Hemmiken,0
1994,2849,Itingen,34
1994,2850,Känerkinden,10
1994,2852,Läufelfingen,18
1994,2853,Maisprach,10
1994,2854,Nusshof,3
1994,2855,Oltingen,5
1994,2856,Ormalingen,21
1994,2858,Rothenfluh,1
1994,2859,Rümlingen,0
1994,2860,Rünenberg,18
1994,2861,Sissach,13
1994,2862,Tecknau,18
1994,2863,Tenniken,13
1994,2864,Thürnen,2
1994,2865,Wenslingen,4
1994,2866,Wintersingen,0
1994,2867,Wittinsburg,3
1994,2881,Arboldswil,5
1994,2882,Bennwil,0
1994,2883,Bretzwil,0
1994,2884,Diegten,21
1994,2885,Eptingen,1
1994,2886,Hölstein,1
1994,2887,Lampenberg,2
1994,2888,Langenbruck,3
1994,2889,Lauwil,2
1994,2890,Liedertswil,0
1994,2891,Niederdorf,9
1994,2893,Reigoldswil,3
1994,2894,Titterten,0
1994,2895,Waldenburg,9
1995,2762,Allschwil,35
1995,2763,Arlesheim,93
1995,2765,Binningen,109
1995,2766,Birsfelden,12
1995,2767,Bottmingen,45
1995,2768,Ettingen,29
1995,2769,Münchenstein,28
1995,2770,Muttenz,16
1995,2772,Pfeffingen,42
1995,2774,Schönenbuch,9
1995,2775,Therwil,59
1995,2781,Blauen,3
1995,2782,Brislach,44
1995,2784,Dittingen,8
1995,2785,Duggingen,3
1995,2786,Grellingen,11
1995,2787,Laufen,16
1995,2788,Liesberg,16
1995,2789,Nenzlingen,0
1995,2790,Roggenburg,6
1995,2791,Röschenz,38
1995,2792,Wahlen,28
1995,2821,Arisdorf,16
1995,2822,Augst,0
1995,2823,Bubendorf,67
1995,2824,Frenkendorf,23
1995,2825,Füllinsdorf,24
1995,2826,Giebenach,1
1995,2827,Hersberg,3
1995,2828,Lausen,13
1995,2829,Liestal,69
1995,2830,Lupsingen,6
1995,2831,Pratteln,53
1995,2832,Ramlinsburg,2
1995,2833,Seltisberg,20
1995,2841,Anwil,6
1995,2842,Böckten,1
1995,2843,Buckten,4
1995,2844,Buus,11
1995,2845,Diepflingen,7
1995,2846,Gelterkinden,23
1995,2847,Häfelfingen,1
1995,2848,Hemmiken,1
1995,2849,Itingen,25
1995,2850,Känerkinden,3
1995,2852,Läufelfingen,0
1995,2853,Maisprach,23
1995,2854,Nusshof,0
1995,2855,Oltingen,6
1995,2856,Ormalingen,29
1995,2858,Rothenfluh,10
1995,2859,Rümlingen,0
1995,2860,Rünenberg,3
1995,2861,Sissach,40
1995,2862,Tecknau,17
1995,2863,Tenniken,4
1995,2864,Thürnen,5
1995,2865,Wenslingen,2
1995,2866,Wintersingen,11
1995,2867,Wittinsburg,5
1995,2881,Arboldswil,8
1995,2882,Bennwil,7
1995,2883,Bretzwil,7
1995,2884,Diegten,15
1995,2885,Eptingen,1
1995,2886,Hölstein,10
1995,2887,Lampenberg,2
1995,2888,Langenbruck,3
1995,2889,Lauwil,1
1995,2890,Liedertswil,2
1995,2891,Niederdorf,7
1995,2893,Reigoldswil,5
1995,2894,Titterten,4
