jahr,bfs_nummer,gemeinde,indikator,wert
2022,2764,Biel-Benken,Steuerbares_Einkommen_CHF,192256892.0
2019,2764,Biel-Benken,Anzahl_Steuerpflichtige,1985.0
2019,2764,Biel-Benken,Steuerbares_Einkommen_CHF,191287231.0
2018,2764,Biel-Benken,Steuerbares_Einkommen_CHF,197478208.0
2013,2764,Biel-Benken,Steuerbares_Einkommen_CHF,171171824.0
2020,2764,Biel-Benken,Anzahl_Steuerpflichtige,2029.0
2021,2764,Biel-Benken,Anzahl_Steuerpflichtige,2082.0
2020,2764,Biel-Benken,Steuerbares_Einkommen_CHF,187565490.0
2018,2764,Biel-Benken,Anzahl_Steuerpflichtige,1961.0
2016,2764,Biel-Benken,Anzahl_Steuerpflichtige,1922.0
2016,2764,Biel-Benken,Steuerbares_Einkommen_CHF,183316827.0
2015,2764,Biel-Benken,Steuerbares_Einkommen_CHF,179569243.0
2014,2764,Biel-Benken,Anzahl_Steuerpflichtige,1891.0
2014,2764,Biel-Benken,Steuerbares_Einkommen_CHF,172760962.0
2022,2764,Biel-Benken,Anzahl_Steuerpflichtige,2059.0
2021,2764,Biel-Benken,Steuerbares_Einkommen_CHF,190610203.0
2017,2764,Biel-Benken,Anzahl_Steuerpflichtige,1927.0
2017,2764,Biel-Benken,Steuerbares_Einkommen_CHF,186049009.0
2015,2764,Biel-Benken,Anzahl_Steuerpflichtige,1911.0
2013,2764,Biel-Benken,Anzahl_Steuerpflichtige,1851.0
2022,2765,Binningen,Anzahl_Steuerpflichtige,9708.0
2022,2766,Birsfelden,Anzahl_Steuerpflichtige,6630.0
2022,2821,Arisdorf,Anzahl_Steuerpflichtige,1051.0
2022,2827,Hersberg,Anzahl_Steuerpflichtige,228.0
2022,2828,Lausen,Anzahl_Steuerpflichtige,3468.0
2022,2829,Liestal,Anzahl_Steuerpflichtige,9716.0
2022,2830,Lupsingen,Anzahl_Steuerpflichtige,876.0
2022,2831,Pratteln,Anzahl_Steuerpflichtige,10018.0
2022,2832,Ramlinsburg,Anzahl_Steuerpflichtige,463.0
2022,2843,Buckten,Anzahl_Steuerpflichtige,430.0
2022,2849,Itingen,Anzahl_Steuerpflichtige,1368.0
2022,2850,Känerkinden,Anzahl_Steuerpflichtige,341.0
2022,2852,Läufelfingen,Anzahl_Steuerpflichtige,860.0
2022,2767,Bottmingen,Steuerbares_Einkommen_CHF,422048089.0
2022,2782,Brislach,Steuerbares_Einkommen_CHF,60297398.0
2022,2788,Liesberg,Steuerbares_Einkommen_CHF,39188578.0
2022,2789,Nenzlingen,Steuerbares_Einkommen_CHF,19557824.0
2022,2791,Röschenz,Steuerbares_Einkommen_CHF,76154490.0
