jahr,quartal,gemeinde_nummer,gemeinde,bezirk_nummer,bezirk,anfangsbestand,geburten,todesfaelle,geburtenueberschuss,zuzuege,wegzuege,wanderungssaldo,bereinigung_saldo,gesamtveraenderung,endbestand
2025,3,2783,Burg im Leimental,1302,Bezirk Laufen,282,0,0,0,9,7,2,0,2,284
2025,2,2783,Burg im Leimental,1302,Bezirk Laufen,288,0,0,0,4,10,-6,0,-6,282
2025,1,2783,Burg im Leimental,1302,Bezirk Laufen,289,1,2,-1,2,2,0,0,-1,288
2024,4,2783,Burg im Leimental,1302,Bezirk Laufen,289,1,1,0,11,11,0,0,0,289
2024,3,2783,Burg im Leimental,1302,Bezirk Laufen,293,0,1,-1,6,9,-3,0,-4,289
2024,2,2783,Burg im Leimental,1302,Bezirk Laufen,284,1,0,1,15,7,8,0,9,293
2024,1,2783,Burg im Leimental,1302,Bezirk Laufen,287,1,1,0,3,6,-3,0,-3,284
2023,4,2783,Burg im Leimental,1302,Bezirk Laufen,287,0,1,-1,5,4,1,0,0,287
2023,3,2783,Burg im Leimental,1302,Bezirk Laufen,281,0,0,0,8,2,6,0,6,287
2023,2,2783,Burg im Leimental,1302,Bezirk Laufen,278,2,0,2,6,5,1,0,3,281
2023,1,2783,Burg im Leimental,1302,Bezirk Laufen,273,1,0,1,7,3,4,0,5,278
2022,4,2783,Burg im Leimental,1302,Bezirk Laufen,276,2,1,1,1,5,-4,0,-3,273
2022,3,2783,Burg im Leimental,1302,Bezirk Laufen,275,0,3,-3,9,5,4,0,1,276
2022,2,2783,Burg im Leimental,1302,Bezirk Laufen,276,1,0,1,3,5,-2,0,-1,275
2022,1,2783,Burg im Leimental,1302,Bezirk Laufen,275,0,2,-2,6,3,3,0,1,276
2021,4,2783,Burg im Leimental,1302,Bezirk Laufen,279,1,0,1,0,5,-5,0,-4,275
2021,3,2783,Burg im Leimental,1302,Bezirk Laufen,281,0,1,-1,3,4,-1,0,-2,279
2021,2,2783,Burg im Leimental,1302,Bezirk Laufen,281,1,1,0,5,5,0,0,0,281
2021,1,2783,Burg im Leimental,1302,Bezirk Laufen,281,1,2,-1,4,3,1,0,0,281
2020,4,2783,Burg im Leimental,1302,Bezirk Laufen,282,0,0,0,0,1,-1,0,-1,281
2020,3,2783,Burg im Leimental,1302,Bezirk Laufen,271,0,2,-2,16,3,13,0,11,282
2020,2,2783,Burg im Leimental,1302,Bezirk Laufen,277,0,2,-2,3,7,-4,0,-6,271
2020,1,2783,Burg im Leimental,1302,Bezirk Laufen,278,1,0,1,3,5,-2,0,-1,277
2019,4,2783,Burg im Leimental,1302,Bezirk Laufen,275,1,0,1,5,3,2,0,3,278
2019,3,2783,Burg im Leimental,1302,Bezirk Laufen,274,2,0,2,5,6,-1,0,1,275
2019,2,2783,Burg im Leimental,1302,Bezirk Laufen,270,0,0,0,6,2,4,0,4,274
2019,1,2783,Burg im Leimental,1302,Bezirk Laufen,265,1,0,1,5,1,4,0,5,270
