jahr,bfs_nummer,gemeinde,falle,flache_in_m2,quadratmeterpreis_chf
1979,2851,Kilchberg (BL),,,
1980,2851,Kilchberg (BL),,,
1981,2851,Kilchberg (BL),,,
1982,2851,Kilchberg (BL),,,
1983,2851,Kilchberg (BL),,,
1984,2851,Kilchberg (BL),,,
1985,2851,Kilchberg (BL),( ),( ),( )
1986,2851,Kilchberg (BL),( ),( ),( )
1987,2851,Kilchberg (BL),,,
1988,2851,Kilchberg (BL),( ),( ),( )
1989,2851,Kilchberg (BL),,,
1990,2851,Kilchberg (BL),( ),( ),( )
1991,2851,Kilchberg (BL),,,
1992,2851,Kilchberg (BL),,,
1993,2851,Kilchberg (BL),4,2400,195
1994,2851,Kilchberg (BL),( ),( ),( )
1995,2851,Kilchberg (BL),,,
1996,2851,Kilchberg (BL),( ),( ),( )
1997,2851,Kilchberg (BL),,,
1998,2851,Kilchberg (BL),,,
1999,2851,Kilchberg (BL),( ),( ),( )
2000,2851,Kilchberg (BL),,,
2001,2851,Kilchberg (BL),,,
2002,2851,Kilchberg (BL),3,1300,223
2003,2851,Kilchberg (BL),,,
2004,2851,Kilchberg (BL),,,
2005,2851,Kilchberg (BL),( ),( ),( )
2006,2851,Kilchberg (BL),4,3400,267
2007,2851,Kilchberg (BL),,,
2008,2851,Kilchberg (BL),( ),( ),( )
2009,2851,Kilchberg (BL),3,2200,300
2010,2851,Kilchberg (BL),,,
2011,2851,Kilchberg (BL),( ),( ),( )
2012,2851,Kilchberg (BL),( ),( ),( )
2013,2851,Kilchberg (BL),( ),( ),( )
2014,2851,Kilchberg (BL),,,
2015,2851,Kilchberg (BL),,,
2016,2851,Kilchberg (BL),( ),( ),( )
2017,2851,Kilchberg (BL),( ),( ),( )
2018,2851,Kilchberg (BL),4,8700,245
2019,2851,Kilchberg (BL),,,
2020,2851,Kilchberg (BL),( ),( ),( )
2021,2851,Kilchberg (BL),3,2800,480
2022,2851,Kilchberg (BL),,,
2023,2851,Kilchberg (BL),( ),( ),( )
2024,2851,Kilchberg (BL),( ),( ),( )
1979,2764,Biel-Benken,18,15100,223
1980,2764,Biel-Benken,19,11600,260
1981,2764,Biel-Benken,9,5800,260
1982,2764,Biel-Benken,16,7500,285
1983,2764,Biel-Benken,10,17800,304
1984,2764,Biel-Benken,11,9100,322
1985,2764,Biel-Benken,19,11600,301
1986,2764,Biel-Benken,19,17800,332
1987,2764,Biel-Benken,15,7800,343
1988,2764,Biel-Benken,11,15900,324
1989,2764,Biel-Benken,6,5000,493
1990,2764,Biel-Benken,8,4600,674
1991,2764,Biel-Benken,10,23600,307
1992,2764,Biel-Benken,7,4900,754
1993,2764,Biel-Benken,6,11700,581
1994,2764,Biel-Benken,7,5400,699
1995,2764,Biel-Benken,8,4100,800
1996,2764,Biel-Benken,15,10400,649
1997,2764,Biel-Benken,23,10900,701
1998,2764,Biel-Benken,6,4400,698
1999,2764,Biel-Benken,31,16200,577
2000,2764,Biel-Benken,22,10400,672
2001,2764,Biel-Benken,16,7600,769
2002,2764,Biel-Benken,19,11300,827
2003,2764,Biel-Benken,11,6500,742
2004,2764,Biel-Benken,25,12700,818
2005,2764,Biel-Benken,16,8500,891
2006,2764,Biel-Benken,13,5200,784
2007,2764,Biel-Benken,9,4500,666
2008,2764,Biel-Benken,11,4600,828
2009,2764,Biel-Benken,16,6200,850
2010,2764,Biel-Benken,13,5000,976
2011,2764,Biel-Benken,11,6900,919
2012,2764,Biel-Benken,27,16600,809
2013,2764,Biel-Benken,15,10100,940
2014,2764,Biel-Benken,14,5700,1112
2015,2764,Biel-Benken,12,3400,1195
2016,2764,Biel-Benken,3,1800,1458
2017,2764,Biel-Benken,9,4900,1307
2018,2764,Biel-Benken,4,2100,1516
2019,2764,Biel-Benken,6,10000,1409
2020,2764,Biel-Benken,5,2400,1521
2021,2764,Biel-Benken,( ),( ),( )
2022,2764,Biel-Benken,4,5400,1658
2023,2764,Biel-Benken,( ),( ),( )
2024,2764,Biel-Benken,4,1600,1775
1979,2762,Allschwil,43,26800,239
1979,2763,Arlesheim,13,38800,202
1979,2765,Binningen,20,35600,219
1979,2766,Birsfelden,,,
1979,2767,Bottmingen,39,31600,292
1979,2768,Ettingen,26,27300,202
1979,2769,Münchenstein,7,4300,229
1979,2770,Muttenz,29,31200,264
1979,2772,Pfeffingen,12,8900,186
1979,2774,Schönenbuch,7,5600,185
1979,2775,Therwil,25,18700,254
1979,2821,Arisdorf,16,8000,130
1979,2822,Augst,( ),( ),( )
1979,2823,Bubendorf,20,28100,67
1979,2824,Frenkendorf,26,15800,186
1979,2825,Füllinsdorf,9,13100,151
1979,2826,Giebenach,7,6100,106
1979,2827,Hersberg,10,4100,117
1979,2828,Lausen,19,14000,137
1979,2829,Liestal,30,25300,185
1979,2830,Lupsingen,( ),( ),( )
1979,2831,Pratteln,61,39000,210
1979,2832,Ramlinsburg,( ),( ),( )
1979,2833,Seltisberg,10,14000,81
1979,2841,Anwil,4,4400,54
1979,2842,Böckten,( ),( ),( )
1979,2843,Buckten,( ),( ),( )
1979,2844,Buus,6,3000,69
1979,2845,Diepflingen,3,1000,91
1979,2846,Gelterkinden,30,17000,96
1979,2847,Häfelfingen,( ),( ),( )
1979,2848,Hemmiken,,,
1979,2849,Itingen,4,16500,75
