jahr,quartal,bfs_code_gemeinde,gemeindename,anzahl_bauprojekte
2025,1,2783,Burg im Leimental,2
2024,2,2783,Burg im Leimental,1
2024,1,2783,Burg im Leimental,1
2023,1,2783,Burg im Leimental,2
2022,4,2783,Burg im Leimental,1
2022,2,2783,Burg im Leimental,1
2022,1,2783,Burg im Leimental,2
2021,4,2783,Burg im Leimental,2
2021,3,2783,Burg im Leimental,2
2021,1,2783,Burg im Leimental,3
2020,4,2783,Burg im Leimental,1
2020,2,2783,Burg im Leimental,3
2020,1,2783,Burg im Leimental,1
2019,3,2783,Burg im Leimental,3
2019,1,2783,Burg im Leimental,2
2018,4,2783,Burg im Leimental,3
2018,2,2783,Burg im Leimental,4
2017,4,2783,Burg im Leimental,1
2017,2,2783,Burg im Leimental,2
2017,1,2783,Burg im Leimental,3
2016,4,2783,Burg im Leimental,3
2016,3,2783,Burg im Leimental,2
2014,3,2783,Burg im Leimental,1
2014,2,2783,Burg im Leimental,1
2014,1,2783,Burg im Leimental,2
2013,4,2783,Burg im Leimental,1
2013,3,2783,Burg im Leimental,2
2012,4,2783,Burg im Leimental,1
2012,3,2783,Burg im Leimental,1
2012,2,2783,Burg im Leimental,2
2012,1,2783,Burg im Leimental,2
2011,3,2783,Burg im Leimental,2
2011,2,2783,Burg im Leimental,1
2011,1,2783,Burg im Leimental,3
2010,4,2783,Burg im Leimental,1
2010,3,2783,Burg im Leimental,4
2010,2,2783,Burg im Leimental,3
2010,1,2783,Burg im Leimental,1
2009,3,2783,Burg im Leimental,2
2009,2,2783,Burg im Leimental,1
2009,1,2783,Burg im Leimental,3
2008,4,2783,Burg im Leimental,1
2007,4,2783,Burg im Leimental,3
2007,3,2783,Burg im Leimental,1
2007,1,2783,Burg im Leimental,1
2006,3,2783,Burg im Leimental,1
2006,2,2783,Burg im Leimental,1
2006,1,2783,Burg im Leimental,3
2005,4,2783,Burg im Leimental,2
2005,3,2783,Burg im Leimental,1
2005,2,2783,Burg im Leimental,2
2005,1,2783,Burg im Leimental,2
2024,3,2851,Kilchberg (BL),1
2024,2,2851,Kilchberg (BL),1
2023,1,2851,Kilchberg (BL),2
2022,2,2851,Kilchberg (BL),1
2021,4,2851,Kilchberg (BL),1
2021,3,2851,Kilchberg (BL),2
2021,2,2851,Kilchberg (BL),2
2020,3,2851,Kilchberg (BL),1
2019,4,2851,Kilchberg (BL),1
2019,2,2851,Kilchberg (BL),2
2019,1,2851,Kilchberg (BL),3
2018,4,2851,Kilchberg (BL),2
2018,3,2851,Kilchberg (BL),2
2018,2,2851,Kilchberg (BL),1
2018,1,2851,Kilchberg (BL),1
2017,3,2851,Kilchberg (BL),2
2017,2,2851,Kilchberg (BL),2
2017,1,2851,Kilchberg (BL),1
2016,4,2851,Kilchberg (BL),1
2016,3,2851,Kilchberg (BL),2
2015,1,2851,Kilchberg (BL),1
2014,2,2851,Kilchberg (BL),1
2014,1,2851,Kilchberg (BL),1
2013,2,2851,Kilchberg (BL),2
2012,4,2851,Kilchberg (BL),2
2012,2,2851,Kilchberg (BL),2
2012,1,2851,Kilchberg (BL),1
2011,4,2851,Kilchberg (BL),1
2011,2,2851,Kilchberg (BL),2
2010,4,2851,Kilchberg (BL),2
2009,4,2851,Kilchberg (BL),2
2009,3,2851,Kilchberg (BL),2
2009,2,2851,Kilchberg (BL),4
2009,1,2851,Kilchberg (BL),2
2008,4,2851,Kilchberg (BL),1
2007,4,2851,Kilchberg (BL),1
2007,2,2851,Kilchberg (BL),1
2007,1,2851,Kilchberg (BL),2
2006,4,2851,Kilchberg (BL),1
2006,3,2851,Kilchberg (BL),1
2006,2,2851,Kilchberg (BL),4
2006,1,2851,Kilchberg (BL),2
2005,4,2851,Kilchberg (BL),1
2005,2,2851,Kilchberg (BL),1
2025,2,2857,Rickenbach (BL),3
2025,1,2857,Rickenbach (BL),2
2024,4,2857,Rickenbach (BL),2
2024,3,2857,Rickenbach (BL),2
2024,2,2857,Rickenbach (BL),1
2024,1,2857,Rickenbach (BL),3
2023,2,2857,Rickenbach (BL),1
2022,4,2857,Rickenbach (BL),1
2022,2,2857,Rickenbach (BL),1
2022,1,2857,Rickenbach (BL),1
2021,4,2857,Rickenbach (BL),1
2021,3,2857,Rickenbach (BL),2
2021,2,2857,Rickenbach (BL),4
2021,1,2857,Rickenbach (BL),2
2020,4,2857,Rickenbach (BL),1
2020,3,2857,Rickenbach (BL),2
2020,2,2857,Rickenbach (BL),4
2020,1,2857,Rickenbach (BL),2
