periode,raum,bezirk_code,bezirk_text,gemeinde_code,gemeinde_text,anzahl_zimmer,beobachtungen,schatzwert,schatzbereich_von,schatzbereich_bis,vi_absolut,genauigkeit
2010/2014,BL,1302,Bezirk Laufen,2783,Burg im Leimental,Total,6.0,1369.767809887493,1284.8130714275667,1454.7225483474194,84.9547384599264,Schätzwert bedingt zuverlässig
2010/2014,BL,1302,Bezirk Laufen,2783,Burg im Leimental,1-2,,,,,,Kein Schätzwert (vertraulich)
2010/2014,BL,1302,Bezirk Laufen,2783,Burg im Leimental,3,,,,,,Kein Schätzwert (vertraulich)
2010/2014,BL,1302,Bezirk Laufen,2783,Burg im Leimental,5+,,,,,,Kein Schätzwert (vertraulich)
2015/2019,BL,1302,Bezirk Laufen,2783,Burg im Leimental,Total,6.0,1364.6331932027394,1204.97254584402,1524.2938405614589,159.66064735871944,Schätzwert bedingt zuverlässig
2015/2019,BL,1302,Bezirk Laufen,2783,Burg im Leimental,1-2,,,,,,Kein Schätzwert (vertraulich)
2015/2019,BL,1302,Bezirk Laufen,2783,Burg im Leimental,3,,,,,,Kein Schätzwert (vertraulich)
2015/2019,BL,1302,Bezirk Laufen,2783,Burg im Leimental,4,,,,,,Kein Schätzwert (vertraulich)
2015/2019,BL,1304,Bezirk Sissach,2851,Kilchberg (BL),Total,,,,,,Kein Schätzwert (vertraulich)
2015/2019,BL,1304,Bezirk Sissach,2851,Kilchberg (BL),1-2,,,,,,Kein Schätzwert (vertraulich)
2015/2019,BL,1304,Bezirk Sissach,2851,Kilchberg (BL),3,,,,,,Kein Schätzwert (vertraulich)
2010/2014,BL,1301,Bezirk Arlesheim,2771,Oberwil (BL),Total,609.0,1610.0968823878081,1558.8520727384744,1661.341692037142,51.24480964933384,Schätzwert zuverlässig
2010/2014,BL,1304,Bezirk Sissach,2857,Rickenbach (BL),Total,20.0,1413.0749464714002,1220.5522928765276,1605.5976000662727,192.52265359487245,Schätzwert bedingt zuverlässig
