periode,raum,bezirk_code,bezirk_text,gemeinde_code,gemeinde_text,bewohnertyp_code,bewohnertyp_text,beobachtungen,schatzwert,schatzbereich_von,schatzbereich_bis,vi_absolut,vi_prozent,genauigkeit
2015/2019,BL,1302,Bezirk Laufen,2783,Burg im Leimental,Total,Total,24.0,101.9091171523,63.4363601299163,140.381874174684,38.4727570223837,37.7520266070869,Schätzwert bedingt zuverlässig
2015/2019,BL,1302,Bezirk Laufen,2783,Burg im Leimental,1,Mieter/innen oder Untermieter/innen,6.0,31.2542904644,8.42741496037608,54.0811659684239,22.8268755040239,73.0359741489724,Schätzwert bedingt zuverlässig
2015/2019,BL,1302,Bezirk Laufen,2783,Burg im Leimental,4,Hauseigentümer/innen,17.0,66.0298568074,36.0550956751899,96.0046179396101,29.9747611322101,45.3957687953834,Schätzwert bedingt zuverlässig
2015/2019,BL,1302,Bezirk Laufen,2783,Burg im Leimental,5,andere Situation/unbekannt,,,,,,,Kein Schätzwert (vertraulich)
2010/2014,BL,1302,Bezirk Laufen,2783,Burg im Leimental,Total,Total,27.0,98.285601261,63.3004760035537,133.270726518446,34.9851252574463,35.5953718638221,Schätzwert bedingt zuverlässig
2010/2014,BL,1302,Bezirk Laufen,2783,Burg im Leimental,1,Mieter/innen oder Untermieter/innen,6.0,30.4397461317,8.3494114397209,52.5300808236791,22.0903346919791,72.5706929236647,Schätzwert bedingt zuverlässig
2010/2014,BL,1302,Bezirk Laufen,2783,Burg im Leimental,4,Hauseigentümer/innen,21.0,67.8458551293,40.7100074115195,94.9817028470805,27.1358477177805,39.9963235278931,Schätzwert bedingt zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2851,Kilchberg (BL),Total,Total,16.0,50.9689280665,28.7712161304744,73.1666400025256,22.1977119360256,43.5514592480027,Schätzwert bedingt zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2851,Kilchberg (BL),1,Mieter/innen oder Untermieter/innen,,,,,,,Kein Schätzwert (vertraulich)
2015/2019,BL,1304,Bezirk Sissach,2851,Kilchberg (BL),3,Stockwerk-/Wohnungseigentümer/innen,5.0,15.4962626779,3.5947341507119,27.3977912050881,11.9015285271881,76.8025734628355,Schätzwert bedingt zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2851,Kilchberg (BL),4,Hauseigentümer/innen,9.0,26.9452884024,11.2620637856604,42.6285130191396,15.6832246167396,58.2039590095561,Schätzwert bedingt zuverlässig
2010/2014,BL,1304,Bezirk Sissach,2851,Kilchberg (BL),Total,Total,10.0,30.059124692,13.5353481597644,46.5829012242357,16.5237765322356,54.9709171559254,Schätzwert bedingt zuverlässig
2010/2014,BL,1304,Bezirk Sissach,2851,Kilchberg (BL),3,Stockwerk-/Wohnungseigentümer/innen,,,,,,,Kein Schätzwert (vertraulich)
2010/2014,BL,1304,Bezirk Sissach,2851,Kilchberg (BL),4,Hauseigentümer/innen,7.0,20.5373496221,6.99333361345744,34.0813656307426,13.5440160086426,65.9482175541678,Schätzwert bedingt zuverlässig
2010/2014,BL,1304,Bezirk Sissach,2851,Kilchberg (BL),5,andere Situation/unbekannt,,,,,,,Kein Schätzwert (vertraulich)
