jahr,gemeinde,ds10060_1_person,ds10060_2_personen,ds10060_3_personen,ds10060_4_personen,ds10060_5_personen,ds10060_6_oder_mehr_personen,ds10080_ausland,ds10080_schweiz,ds10180_unternehmensneugruendungen,ds10180_unternehmensschliessungen,ds10200_jahr_raw,ds10200_bfs_nummer,ds10230_jahr_raw,ds10230_bfs_nummer,ds10230_neu_erstellte_wohnungen,ds10580_steuerfuss_ertrag_juristische_personen_prozent,ds10580_steuerfuss_kapital_juristische_personen_prozent,ds10580_steuerfuss_natuerliche_personen_prozent,ds10580_steuersatz_ertrag_juristische_personen_prozent,ds10580_steuersatz_kapital_juristische_personen_promille,ds10630_anzahl_steuerpflichtige,ds10630_steuerbares_einkommen_chf,ds10680_jahr_raw,ds10680_quartal,ds10680_gemeinde_nummer,ds10680_bezirk_nummer,ds10680_anfangsbestand,ds10680_geburten,ds10680_todesfaelle,ds10680_geburtenueberschuss,ds10680_zuzuege,ds10680_wegzuege,ds10680_wanderungssaldo,ds10680_bereinigung_saldo,ds10680_gesamtveraenderung,ds10680_endbestand,ds12070_jahr_raw,ds12070_bfs_nummer,ds12880_jahr_raw,ds12880_quartal,ds12880_bfs_code_gemeinde,ds12880_anzahl_bewilligungen,ds12900_jahr_raw,ds12900_quartal,ds12900_bfs_code_gemeinde,ds12900_anzahl_bauprojekte,ds13010_1_2,ds13010_3,ds13010_4,ds13010_5,ds13010_total,ds13030_andere_situation_unbekannt,ds13030_genossenschafter_innen,ds13030_hauseigentuemer_innen,ds13030_mieter_innen_oder_untermieter_innen,ds13030_stockwerk_wohnungseigentuemer_innen,ds13030_total
1980,Aesch,,,,,,,1589.0,6397.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,Aesch,,,,,,,1565.0,6437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,Aesch,,,,,,,1584.0,6593.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,Aesch,,,,,,,1591.0,6812.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,Aesch,,,,,,,1610.0,7054.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,Aesch,,,,,,,1633.0,7226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,Aesch,,,,,,,1677.0,7337.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,Aesch,,,,,,,1730.0,7502.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,Aesch,,,,,,,1819.0,7700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,Aesch,,,,,,,1855.0,7802.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Aesch,,,,,,,1905.0,7785.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,Aesch,,,,,,,1960.0,7734.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,Aesch,,,,,,,1992.0,7661.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,Aesch,,,,,,,1963.0,7661.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,Aesch,,,,,,,2008.0,7643.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Aesch,,,,,,,2042.0,7651.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,Aesch,,,,,,,2115.0,7797.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,Aesch,,,,,,,2126.0,7932.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,Aesch,,,,,,,2126.0,7936.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Aesch,,,,,,,2199.0,7909.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Aesch,,,,,,,2233.0,7852.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Aesch,,,,,,,2132.0,7754.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Aesch,,,,,,,2147.0,7729.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Aesch,,,,,,,2224.0,7777.0,,,,,,,,,,,,,,,8012.0,10.0,11044.0,5204.0,40010.0,89.0,59.0,30.0,678.0,745.0,-67.0,26.0,-11.0,39999.0,,,,,,,,,,,,,,,,,,,,,
2004,Aesch,,,,,,,2224.0,7764.0,,,,,,,,,,,,,,,8016.0,10.0,11044.0,5204.0,39952.0,76.0,63.0,13.0,706.0,716.0,-10.0,-1.0,2.0,39954.0,,,,,,,,,,,,,,,,,,,,,
2005,Aesch,,,,,,,2171.0,7791.0,,,,,,,,,,,,,,,8020.0,10.0,11044.0,5204.0,39875.0,75.0,66.0,9.0,648.0,712.0,-64.0,0.0,-55.0,39820.0,,,8020.0,10.0,11044.0,64.0,8020.0,10.0,11044.0,55.0,,,,,,,,,,,
2006,Aesch,,,,,,,2171.0,7816.0,,,,,,,,,,,,,,,8024.0,10.0,11044.0,5204.0,39903.0,89.0,67.0,22.0,742.0,678.0,64.0,0.0,86.0,39989.0,,,8024.0,10.0,11044.0,85.0,8024.0,10.0,11044.0,85.0,,,,,,,,,,,
2007,Aesch,,,,,,,2203.0,7809.0,,,,,,,,,,,,,,,8028.0,10.0,11044.0,5204.0,40044.0,93.0,62.0,31.0,779.0,801.0,-22.0,0.0,9.0,40053.0,,,8028.0,10.0,11044.0,59.0,8028.0,10.0,11044.0,62.0,,,,,,,,,,,
2008,Aesch,,,,,,,2251.0,7841.0,,,,,,,,,,,,,,,8032.0,10.0,11044.0,5204.0,40325.0,77.0,91.0,-14.0,856.0,761.0,95.0,0.0,81.0,40406.0,,,8032.0,10.0,11044.0,61.0,8032.0,10.0,11044.0,71.0,,,,,,,,,,,
2009,Aesch,,,,,,,2328.0,7859.0,,,,,,,,,,,,,,,8036.0,10.0,11044.0,5204.0,40681.0,108.0,81.0,27.0,828.0,725.0,103.0,0.0,130.0,40811.0,,,8036.0,10.0,11044.0,62.0,8036.0,10.0,11044.0,46.0,,,,,,,,,,,
2010,Aesch,,,,,,,2353.0,7874.0,,,,,,,,,,,,,,,8040.0,10.0,11044.0,5204.0,40894.0,87.0,60.0,27.0,732.0,739.0,-7.0,0.0,20.0,40914.0,,,8040.0,10.0,11044.0,74.0,8040.0,10.0,11044.0,71.0,915.924131800659,1329.4115787239214,1644.7773318474983,2135.577993148387,1419.9320261204916,127.2045643832,43.2916761572,1461.6278347419,2366.0702269903,484.3123175622,4482.5066198348
2011,Aesch,,,,,,,2375.0,7920.0,,,,,,,,,,,,,,,8044.0,10.0,11044.0,5204.0,41149.0,95.0,69.0,26.0,789.0,758.0,31.0,0.0,57.0,41206.0,,,8044.0,10.0,11044.0,71.0,8044.0,10.0,11044.0,77.0,915.924131800659,1329.4115787239214,1644.7773318474983,2135.577993148387,1419.9320261204916,127.2045643832,43.2916761572,1461.6278347419,2366.0702269903,484.3123175622,4482.5066198348
2012,Aesch,1317.0,1685.0,642.0,590.0,152.0,56.0,2385.0,7939.0,,,,,,,,,,,,,,,8048.0,10.0,11044.0,5204.0,41313.0,82.0,73.0,9.0,743.0,791.0,-48.0,-1.0,-40.0,41273.0,,,8048.0,10.0,11044.0,58.0,8048.0,10.0,11044.0,54.0,915.924131800659,1329.4115787239214,1644.7773318474983,2135.577993148387,1419.9320261204916,127.2045643832,43.2916761572,1461.6278347419,2366.0702269903,484.3123175622,4482.5066198348
2013,Aesch,1320.0,1659.0,653.0,584.0,157.0,56.0,2403.0,7879.0,626,257,,,,,,,,,,,,,8052.0,10.0,11044.0,5204.0,41130.0,89.0,86.0,3.0,770.0,776.0,-6.0,1.0,-2.0,41128.0,,,8052.0,10.0,11044.0,49.0,8052.0,10.0,11044.0,49.0,915.924131800659,1329.4115787239214,1644.7773318474983,2135.577993148387,1419.9320261204916,127.2045643832,43.2916761572,1461.6278347419,2366.0702269903,484.3123175622,4482.5066198348
2014,Aesch,1308.0,1641.0,696.0,549.0,157.0,55.0,2439.0,7831.0,744,( )29,,,,,,,,,,,,,8056.0,10.0,11044.0,5204.0,41100.0,70.0,85.0,-15.0,678.0,701.0,-23.0,0.0,-38.0,41062.0,,,8056.0,10.0,11044.0,43.0,8056.0,10.0,11044.0,49.0,915.924131800659,1329.4115787239214,1644.7773318474983,2135.577993148387,1419.9320261204916,127.2045643832,43.2916761572,1461.6278347419,2366.0702269903,484.3123175622,4482.5066198348
