jahr,bfs_nummer,gemeinde,ds10630_avg_haushaltsgrosse,ds10080_anteil_auslaender_pct,ds10080_anteil_schweizer_pct,ds10060_1_person,ds10060_2_personen,ds10060_3_personen,ds10060_4_personen,ds10060_5_personen,ds10060_6_oder_mehr_personen,ds10080_ausland,ds10080_schweiz,ds10180_anzahl,ds10200_falle,ds10200_flache_in_m2,ds10200_quadratmeterpreis_chf,ds10230_neu_erstellte_wohnungen,ds10580_steuerfuss_ertrag_juristische_personen_prozent,ds10580_steuerfuss_kapital_juristische_personen_prozent,ds10580_steuerfuss_natuerliche_personen_prozent,ds10580_steuersatz_ertrag_juristische_personen_prozent,ds10580_steuersatz_kapital_juristische_personen_promille,ds10630_anzahl_steuerpflichtige,ds10630_steuerbares_einkommen_chf,ds10680_anfangsbestand,ds10680_geburten,ds10680_todesfaelle,ds10680_zuzuege,ds10680_wegzuege,ds10680_wanderungssaldo,ds10680_endbestand,ds12070_falle,ds12070_flache_in_m2,ds12070_quadratmeterpreis_chf,ds12880_anzahl_bewilligungen,ds12900_anzahl_bauprojekte,ds13010_1_2,ds13010_3,ds13010_4,ds13010_5plus,ds13010_total,ds13030_andere_situation_unbekannt,ds13030_genossenschafter_innen,ds13030_hauseigentuemer_innen,ds13030_mieter_innen_oder_untermieter_innen,ds13030_stockwerk_wohnungseigentuemer_innen,ds13030_total
2010,2841,Anwil,0.0,7.18,92.82,0.0,0.0,0.0,0.0,0.0,0.0,41.0,530.0,0.0,5.0,3500.0,319.0,2.0,0.0,0.0,60.0,4.5,3.5,0.0,0.0,2274,9,5,41,20,21,2299,5.0,3500.0,319.0,6.0,6,0.0,0.0,1464.3658752175895,0.0,1454.0502129122128,25.8304833263,0.0,103.1892220307,40.0775443967,0.0,174.7687801456
2011,2841,Anwil,0.0,6.81,93.19,0.0,0.0,0.0,0.0,0.0,0.0,40.0,547.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,60.0,4.5,2.75,0.0,0.0,2352,11,3,24,40,26,2344,0.0,0.0,0.0,13.0,13,0.0,0.0,1464.3658752175895,0.0,1454.0502129122128,25.8304833263,0.0,103.1892220307,40.0775443967,0.0,174.7687801456
2012,2841,Anwil,2.74,7.41,92.59,37.0,74.0,30.0,49.0,12.0,7.0,43.0,537.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,60.0,4.5,2.75,0.0,0.0,2317,4,4,32,31,17,2318,0.0,0.0,0.0,11.0,10,0.0,0.0,1464.3658752175895,0.0,1454.0502129122128,25.8304833263,0.0,103.1892220307,40.0775443967,0.0,174.7687801456
2013,2841,Anwil,2.67,7.04,92.96,43.0,74.0,35.0,48.0,11.0,6.0,41.0,541.0,0.0,3.0,2000.0,379.0,4.0,0.0,0.0,60.0,4.5,2.75,321.0,18561458.0,2322,2,3,27,18,15,2330,3.0,2000.0,379.0,7.0,9,0.0,0.0,1464.3658752175895,0.0,1454.0502129122128,25.8304833263,0.0,103.1892220307,40.0775443967,0.0,174.7687801456
2014,2841,Anwil,2.67,7.23,92.77,42.0,74.0,33.0,50.0,12.0,4.0,42.0,539.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,60.0,4.5,2.75,326.0,18252484.0,2329,5,1,19,33,16,2319,0.0,0.0,0.0,11.0,9,0.0,0.0,1464.3658752175895,0.0,1454.0502129122128,25.8304833263,0.0,103.1892220307,40.0775443967,0.0,174.7687801456
2015,2841,Anwil,2.59,7.02,92.98,48.0,74.0,40.0,44.0,13.0,3.0,41.0,543.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,60.0,4.5,2.75,332.0,18865555.0,2332,6,6,37,26,13,2343,0.0,0.0,0.0,6.0,8,0.0,0.0,0.0,0.0,1273.541876066167,16.4632264477,0.0,119.4595151053,36.9033629229,0.0,179.5210287499
2016,2841,Anwil,2.58,7.01,92.99,46.0,81.0,37.0,45.0,11.0,4.0,41.0,544.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,63.0,4.5,2.75,337.0,19573306.0,2339,2,4,22,23,13,2336,0.0,0.0,0.0,8.0,5,0.0,0.0,0.0,0.0,1273.541876066167,16.4632264477,0.0,119.4595151053,36.9033629229,0.0,179.5210287499
2017,2841,Anwil,2.55,6.21,93.79,49.0,80.0,34.0,42.0,15.0,2.0,36.0,544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,4.5,2.75,335.0,18906350.0,2325,10,4,18,35,17,2314,0.0,0.0,0.0,7.0,8,0.0,0.0,0.0,0.0,1273.541876066167,16.4632264477,0.0,119.4595151053,36.9033629229,0.0,179.5210287499
2018,2841,Anwil,2.49,6.32,93.68,47.0,90.0,37.0,38.0,12.0,2.0,36.0,534.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,63.0,4.5,2.75,338.0,19748150.0,2285,2,3,24,32,16,2276,0.0,0.0,0.0,5.0,8,0.0,0.0,0.0,0.0,1273.541876066167,16.4632264477,0.0,119.4595151053,36.9033629229,0.0,179.5210287499
2019,2841,Anwil,2.44,6.06,93.94,53.0,86.0,39.0,31.0,12.0,4.0,34.0,527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,4.5,2.75,339.0,18955513.0,2252,7,3,19,37,18,2238,0.0,0.0,0.0,12.0,9,0.0,0.0,0.0,0.0,1273.541876066167,16.4632264477,0.0,119.4595151053,36.9033629229,0.0,179.5210287499
