jahr,bfs_nummer,gemeinde,haushaltsgrosse,wert
2024,2763,Arlesheim,1_Person,1730
2024,2770,Muttenz,1_Person,2957
2024,2821,Arisdorf,1_Person,188
2024,2822,Augst,1_Person,230
2024,2829,Liestal,1_Person,2777
2024,2841,Anwil,1_Person,61
2024,2849,Itingen,1_Person,286
2024,2861,Sissach,1_Person,1120
2024,2895,Waldenburg,1_Person,241
2024,2763,Arlesheim,2_Personen,1415
2024,2770,Muttenz,2_Personen,2800
2024,2821,Arisdorf,2_Personen,270
2024,2822,Augst,2_Personen,183
2024,2829,Liestal,2_Personen,2504
2024,2841,Anwil,2_Personen,100
2024,2849,Itingen,2_Personen,405
2024,2861,Sissach,2_Personen,1123
2024,2895,Waldenburg,2_Personen,185
2024,2763,Arlesheim,3_Personen,513
2024,2770,Muttenz,3_Personen,1033
2024,2821,Arisdorf,3_Personen,99
2024,2822,Augst,3_Personen,55
2024,2829,Liestal,3_Personen,911
2024,2841,Anwil,3_Personen,23
2024,2849,Itingen,3_Personen,134
2024,2861,Sissach,3_Personen,373
2024,2895,Waldenburg,3_Personen,58
2024,2763,Arlesheim,4_Personen,516
2024,2770,Muttenz,4_Personen,1047
2024,2821,Arisdorf,4_Personen,111
2024,2822,Augst,4_Personen,46
2024,2829,Liestal,4_Personen,826
2024,2841,Anwil,4_Personen,36
2024,2849,Itingen,4_Personen,172
2024,2861,Sissach,4_Personen,391
2024,2895,Waldenburg,4_Personen,35
2024,2763,Arlesheim,5_Personen,141
2024,2770,Muttenz,5_Personen,271
2024,2821,Arisdorf,5_Personen,34
2024,2822,Augst,5_Personen,14
2024,2829,Liestal,5_Personen,262
2024,2841,Anwil,5_Personen,9
2024,2849,Itingen,5_Personen,42
2024,2861,Sissach,5_Personen,101
2024,2895,Waldenburg,5_Personen,22
2024,2763,Arlesheim,6_oder_mehr_Personen,36
2024,2770,Muttenz,6_oder_mehr_Personen,92
2024,2821,Arisdorf,6_oder_mehr_Personen,11
2024,2822,Augst,6_oder_mehr_Personen,9
2024,2829,Liestal,6_oder_mehr_Personen,94
2024,2841,Anwil,6_oder_mehr_Personen,4
2024,2849,Itingen,6_oder_mehr_Personen,7
2024,2861,Sissach,6_oder_mehr_Personen,35
2024,2895,Waldenburg,6_oder_mehr_Personen,10
2023,2763,Arlesheim,1_Person,1719
2023,2770,Muttenz,1_Person,2971
2023,2821,Arisdorf,1_Person,178
2023,2822,Augst,1_Person,231
2023,2829,Liestal,1_Person,2737
2023,2841,Anwil,1_Person,55
2023,2849,Itingen,1_Person,277
2023,2861,Sissach,1_Person,1125
2023,2895,Waldenburg,1_Person,225
2023,2763,Arlesheim,2_Personen,1457
2023,2770,Muttenz,2_Personen,2832
2023,2821,Arisdorf,2_Personen,276
2023,2822,Augst,2_Personen,185
2023,2829,Liestal,2_Personen,2493
2023,2841,Anwil,2_Personen,106
2023,2849,Itingen,2_Personen,406
2023,2861,Sissach,2_Personen,1112
2023,2895,Waldenburg,2_Personen,192
2023,2763,Arlesheim,3_Personen,512
2023,2770,Muttenz,3_Personen,1039
2023,2821,Arisdorf,3_Personen,96
2023,2822,Augst,3_Personen,51
2023,2829,Liestal,3_Personen,878
2023,2841,Anwil,3_Personen,21
2023,2849,Itingen,3_Personen,131
2023,2861,Sissach,3_Personen,366
2023,2895,Waldenburg,3_Personen,57
2023,2763,Arlesheim,4_Personen,506
2023,2770,Muttenz,4_Personen,1062
2023,2821,Arisdorf,4_Personen,109
2023,2822,Augst,4_Personen,50
2023,2829,Liestal,4_Personen,830
2023,2841,Anwil,4_Personen,35
2023,2849,Itingen,4_Personen,167
2023,2861,Sissach,4_Personen,389
2023,2895,Waldenburg,4_Personen,32
2023,2763,Arlesheim,5_Personen,149
2023,2770,Muttenz,5_Personen,269
2023,2821,Arisdorf,5_Personen,30
2023,2822,Augst,5_Personen,13
2023,2829,Liestal,5_Personen,264
2023,2841,Anwil,5_Personen,9
2023,2849,Itingen,5_Personen,39
2023,2861,Sissach,5_Personen,105
2023,2895,Waldenburg,5_Personen,24
2023,2763,Arlesheim,6_oder_mehr_Personen,39
2023,2770,Muttenz,6_oder_mehr_Personen,89
2023,2821,Arisdorf,6_oder_mehr_Personen,14
2023,2822,Augst,6_oder_mehr_Personen,9
2023,2829,Liestal,6_oder_mehr_Personen,87
2023,2841,Anwil,6_oder_mehr_Personen,3
2023,2849,Itingen,6_oder_mehr_Personen,11
2023,2861,Sissach,6_oder_mehr_Personen,34
2023,2895,Waldenburg,6_oder_mehr_Personen,9
2022,2763,Arlesheim,1_Person,1714
2022,2770,Muttenz,1_Person,2892
2022,2821,Arisdorf,1_Person,177
2022,2822,Augst,1_Person,232
2022,2829,Liestal,1_Person,2645
2022,2841,Anwil,1_Person,55
2022,2849,Itingen,1_Person,274
2022,2861,Sissach,1_Person,1114
2022,2895,Waldenburg,1_Person,212
2022,2763,Arlesheim,2_Personen,1453
2022,2770,Muttenz,2_Personen,2799
2022,2821,Arisdorf,2_Personen,272
2022,2822,Augst,2_Personen,168
2022,2829,Liestal,2_Personen,2433
2022,2841,Anwil,2_Personen,95
2022,2849,Itingen,2_Personen,389
2022,2861,Sissach,2_Personen,1105
2022,2895,Waldenburg,2_Personen,190
2022,2763,Arlesheim,3_Personen,518
2022,2770,Muttenz,3_Personen,1008
2022,2821,Arisdorf,3_Personen,99
2022,2822,Augst,3_Personen,58
2022,2829,Liestal,3_Personen,806
2022,2841,Anwil,3_Personen,31
2022,2849,Itingen,3_Personen,121
2022,2861,Sissach,3_Personen,360
2022,2895,Waldenburg,3_Personen,53
