jahr,bfs_nummer,gemeinde,neu_erstellte_wohnungen
1994,2763,Arlesheim,40
1994,2770,Muttenz,29
1994,2821,Arisdorf,17
1994,2822,Augst,2
1994,2829,Liestal,47
1994,2841,Anwil,2
1994,2849,Itingen,34
1994,2861,Sissach,13
1994,2895,Waldenburg,9
1995,2763,Arlesheim,93
1995,2770,Muttenz,16
1995,2821,Arisdorf,16
1995,2822,Augst,0
1995,2829,Liestal,69
1995,2841,Anwil,6
1995,2849,Itingen,25
1995,2861,Sissach,40
1995,2895,Waldenburg,5
1996,2763,Arlesheim,41
1996,2770,Muttenz,36
1996,2821,Arisdorf,61
1996,2822,Augst,17
1996,2829,Liestal,69
1996,2841,Anwil,1
1996,2849,Itingen,4
1996,2861,Sissach,8
1996,2895,Waldenburg,32
1997,2763,Arlesheim,123
1997,2770,Muttenz,97
1997,2821,Arisdorf,13
1997,2822,Augst,1
1997,2829,Liestal,88
1997,2841,Anwil,10
1997,2849,Itingen,4
1997,2861,Sissach,22
1997,2895,Waldenburg,1
1998,2763,Arlesheim,89
1998,2770,Muttenz,92
1998,2821,Arisdorf,14
1998,2822,Augst,7
1998,2829,Liestal,63
1998,2841,Anwil,5
1998,2849,Itingen,21
1998,2861,Sissach,49
1998,2895,Waldenburg,1
1999,2763,Arlesheim,95
1999,2770,Muttenz,66
1999,2821,Arisdorf,7
1999,2822,Augst,0
1999,2829,Liestal,83
1999,2841,Anwil,5
1999,2849,Itingen,16
1999,2861,Sissach,50
1999,2895,Waldenburg,2
2000,2763,Arlesheim,23
2000,2770,Muttenz,50
2000,2821,Arisdorf,3
2000,2822,Augst,74
2000,2829,Liestal,64
2000,2841,Anwil,1
2000,2849,Itingen,12
2000,2861,Sissach,24
2000,2895,Waldenburg,0
2001,2763,Arlesheim,50
2001,2770,Muttenz,62
2001,2821,Arisdorf,6
2001,2822,Augst,0
2001,2829,Liestal,63
2001,2841,Anwil,3
2001,2849,Itingen,5
2001,2861,Sissach,66
2001,2895,Waldenburg,0
2002,2763,Arlesheim,39
2002,2770,Muttenz,32
2002,2821,Arisdorf,5
2002,2822,Augst,1
2002,2829,Liestal,26
2002,2841,Anwil,2
2002,2849,Itingen,3
2002,2861,Sissach,51
2002,2895,Waldenburg,0
2003,2763,Arlesheim,50
2003,2770,Muttenz,75
2003,2821,Arisdorf,10
2003,2822,Augst,0
2003,2829,Liestal,138
2003,2841,Anwil,6
2003,2849,Itingen,32
2003,2861,Sissach,21
2003,2895,Waldenburg,0
2004,2763,Arlesheim,5
2004,2770,Muttenz,17
2004,2821,Arisdorf,4
2004,2822,Augst,1
2004,2829,Liestal,85
2004,2841,Anwil,1
2004,2849,Itingen,15
2004,2861,Sissach,23
2004,2895,Waldenburg,1
2005,2763,Arlesheim,17
2005,2770,Muttenz,83
2005,2821,Arisdorf,3
2005,2822,Augst,0
2005,2829,Liestal,75
2005,2841,Anwil,4
2005,2849,Itingen,30
2005,2861,Sissach,27
2005,2895,Waldenburg,0
2006,2763,Arlesheim,29
2006,2770,Muttenz,122
2006,2821,Arisdorf,21
2006,2822,Augst,1
2006,2829,Liestal,83
2006,2841,Anwil,2
2006,2849,Itingen,3
2006,2861,Sissach,53
2006,2895,Waldenburg,2
2007,2763,Arlesheim,15
2007,2770,Muttenz,31
2007,2821,Arisdorf,10
2007,2822,Augst,0
2007,2829,Liestal,69
2007,2841,Anwil,9
2007,2849,Itingen,3
2007,2861,Sissach,12
2007,2895,Waldenburg,1
2008,2763,Arlesheim,34
2008,2770,Muttenz,59
2008,2821,Arisdorf,5
2008,2822,Augst,0
2008,2829,Liestal,31
2008,2841,Anwil,0
2008,2849,Itingen,2
2008,2861,Sissach,150
2008,2895,Waldenburg,3
2009,2763,Arlesheim,101
2009,2770,Muttenz,63
2009,2821,Arisdorf,13
2009,2822,Augst,3
2009,2829,Liestal,42
2009,2841,Anwil,1
2009,2849,Itingen,10
2009,2861,Sissach,31
2009,2895,Waldenburg,4
2010,2763,Arlesheim,35
2010,2770,Muttenz,48
2010,2821,Arisdorf,9
2010,2822,Augst,0
2010,2829,Liestal,33
2010,2841,Anwil,2
2010,2849,Itingen,32
2010,2861,Sissach,36
2010,2895,Waldenburg,0
2011,2763,Arlesheim,103
