jahr,bfs_nummer,gemeinde,falle,flache_in_m2,quadratmeterpreis_chf
1979,2763,Arlesheim,13,38800,202
1979,2770,Muttenz,29,31200,264
1979,2821,Arisdorf,16,8000,130
1979,2822,Augst,( ),( ),( )
1979,2829,Liestal,30,25300,185
1979,2841,Anwil,4,4400,54
1979,2849,Itingen,4,16500,75
1979,2861,Sissach,18,9500,146
1979,2895,Waldenburg,3,3000,54
1980,2763,Arlesheim,12,15400,316
1980,2770,Muttenz,32,14800,307
1980,2821,Arisdorf,8,4700,122
1980,2822,Augst,( ),( ),( )
1980,2829,Liestal,14,8600,192
1980,2841,Anwil,5,5500,53
1980,2849,Itingen,39,23000,82
1980,2861,Sissach,28,23900,136
1980,2895,Waldenburg,6,1000,57
1981,2763,Arlesheim,16,17500,336
1981,2770,Muttenz,15,16800,344
1981,2821,Arisdorf,7,8600,80
1981,2822,Augst,3,6600,133
1981,2829,Liestal,22,28800,192
1981,2841,Anwil,( ),( ),( )
1981,2849,Itingen,24,44800,137
1981,2861,Sissach,36,34000,176
1981,2895,Waldenburg,4,2600,43
1982,2763,Arlesheim,11,9800,327
1982,2770,Muttenz,26,20700,261
1982,2821,Arisdorf,3,2900,168
1982,2822,Augst,( ),( ),( )
1982,2829,Liestal,23,37600,180
1982,2841,Anwil,( ),( ),( )
1982,2849,Itingen,8,17000,144
1982,2861,Sissach,23,18100,176
1982,2895,Waldenburg,,,
1983,2763,Arlesheim,7,6200,327
1983,2770,Muttenz,15,8200,342
1983,2821,Arisdorf,5,3100,162
1983,2822,Augst,,,
1983,2829,Liestal,9,12200,212
1983,2841,Anwil,3,2800,76
1983,2849,Itingen,13,10200,145
1983,2861,Sissach,14,28700,189
1983,2895,Waldenburg,,,
1984,2763,Arlesheim,7,4200,252
1984,2770,Muttenz,75,29600,216
1984,2821,Arisdorf,( ),( ),( )
1984,2822,Augst,( ),( ),( )
1984,2829,Liestal,27,90000,173
1984,2841,Anwil,,,
1984,2849,Itingen,27,18700,142
1984,2861,Sissach,15,25800,147
1984,2895,Waldenburg,5,12300,46
1985,2763,Arlesheim,11,15900,302
1985,2770,Muttenz,24,13200,401
1985,2821,Arisdorf,19,10400,120
1985,2822,Augst,5,26100,113
1985,2829,Liestal,34,41700,243
1985,2841,Anwil,5,3600,99
1985,2849,Itingen,14,14100,136
1985,2861,Sissach,14,11000,185
1985,2895,Waldenburg,3,20300,42
1986,2763,Arlesheim,16,40500,404
1986,2770,Muttenz,14,17300,543
1986,2821,Arisdorf,4,2900,120
1986,2822,Augst,( ),( ),( )
1986,2829,Liestal,59,56500,253
1986,2841,Anwil,( ),( ),( )
1986,2849,Itingen,13,19600,135
1986,2861,Sissach,41,43800,176
1986,2895,Waldenburg,( ),( ),( )
1987,2763,Arlesheim,13,18100,550
