periode,raum,bezirk_code,bezirk_text,gemeinde_code,gemeinde_text,bewohnertyp_code,bewohnertyp_text,beobachtungen,schatzwert,schatzbereich_von,schatzbereich_bis,vi_absolut,vi_prozent,genauigkeit
2015/2019,BL,1301,Bezirk Arlesheim,2763,Arlesheim,Total,Total,1084.0,4535.4673888669,4280.72298319838,4790.21179453542,254.744405668519,5.61671783362028,Schätzwert zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2770,Muttenz,Total,Total,2047.0,8282.1268190336,7949.16668550305,8615.08695256415,332.960133530552,4.02022500748671,Schätzwert zuverlässig
2015/2019,BL,1303,Bezirk Liestal,2821,Arisdorf,Total,Total,176.0,613.2763370953,528.286364992384,698.266309198217,84.9899721029165,13.8583485065574,Schätzwert zuverlässig
2015/2019,BL,1303,Bezirk Liestal,2822,Augst,Total,Total,107.0,455.2517841756,374.679849429605,535.823718921595,80.5719347459951,17.6983237730523,Schätzwert zuverlässig
2015/2019,BL,1303,Bezirk Liestal,2829,Liestal,Total,Total,1555.0,6413.6441172281,6117.09474906835,6710.19348538785,296.549368159746,4.62372658568887,Schätzwert zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2841,Anwil,Total,Total,51.0,179.5210287499,133.535065025039,225.506992474761,45.9859637248606,25.6159203437531,Schätzwert zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2849,Itingen,Total,Total,228.0,873.418779809,766.78988669517,980.04767292283,106.62889311383,12.2082207961166,Schätzwert zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2861,Sissach,Total,Total,713.0,2908.6189883845,2707.6302451061,3109.6077316629,200.988743278403,6.91010902703471,Schätzwert zuverlässig
2015/2019,BL,1305,Bezirk Waldenburg,2895,Waldenburg,Total,Total,115.0,430.8333785467,356.394367022626,505.272390070774,74.4390115240739,17.2779118867655,Schätzwert zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2763,Arlesheim,1,Mieter/innen oder Untermieter/innen,567.0,2609.0331141357,2406.2525769036,2811.8136513678,202.7805372321,7.77224850590965,Schätzwert zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2763,Arlesheim,2,Genossenschafter/innen,31.0,129.1161343722,86.7205999830883,171.511668761312,42.3955343891117,32.8351949159964,Schätzwert bedingt zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2763,Arlesheim,3,Stockwerk-/Wohnungseigentümer/innen,158.0,677.0121662103,576.178513131459,777.845819289141,100.833653078841,14.8939203919002,Schätzwert zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2763,Arlesheim,4,Hauseigentümer/innen,307.0,1036.1981265339,928.043798218595,1144.3524548492,108.154328315305,10.4376108724577,Schätzwert zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2763,Arlesheim,5,andere Situation/unbekannt,21.0,84.1078476148,49.3789883390513,118.836706890549,34.7288592757487,41.2908667390957,Schätzwert bedingt zuverlässig
