jahr,gemeinde,ds10060_1_person,ds10060_2_personen,ds10060_3_personen,ds10060_4_personen,ds10060_5_personen,ds10060_6_oder_mehr_personen,ds10080_ausland,ds10080_schweiz,ds10180_unternehmensneugruendungen,ds10180_unternehmensschliessungen,ds10200_jahr_raw,ds10200_bfs_nummer,ds10230_jahr_raw,ds10230_bfs_nummer,ds10230_neu_erstellte_wohnungen,ds10580_steuerfuss_ertrag_juristische_personen_prozent,ds10580_steuerfuss_kapital_juristische_personen_prozent,ds10580_steuerfuss_natuerliche_personen_prozent,ds10580_steuersatz_ertrag_juristische_personen_prozent,ds10580_steuersatz_kapital_juristische_personen_promille,ds10630_anzahl_steuerpflichtige,ds10630_steuerbares_einkommen_chf,ds10680_jahr_raw,ds10680_quartal,ds10680_gemeinde_nummer,ds10680_bezirk_nummer,ds10680_anfangsbestand,ds10680_geburten,ds10680_todesfaelle,ds10680_geburtenueberschuss,ds10680_zuzuege,ds10680_wegzuege,ds10680_wanderungssaldo,ds10680_bereinigung_saldo,ds10680_gesamtveraenderung,ds10680_endbestand,ds12070_jahr_raw,ds12070_bfs_nummer,ds12880_jahr_raw,ds12880_quartal,ds12880_bfs_code_gemeinde,ds12880_anzahl_bewilligungen,ds12900_jahr_raw,ds12900_quartal,ds12900_bfs_code_gemeinde,ds12900_anzahl_bauprojekte,ds13010_1_2,ds13010_3,ds13010_4,ds13010_5,ds13010_total,ds13030_andere_situation_unbekannt,ds13030_genossenschafter_innen,ds13030_hauseigentuemer_innen,ds13030_mieter_innen_oder_untermieter_innen,ds13030_stockwerk_wohnungseigentuemer_innen,ds13030_total
1975,Anwil,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,Anwil,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,Anwil,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,Anwil,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,Anwil,,,,,,,,,,,1979.0,2841.0,,,,,,65.0,,,,,,,,,,,,,,,,,,,1979.0,2841.0,,,,,,,,,,,,,,,,,,,
1980,Anwil,,,,,,,4.0,307.0,,,1980.0,2841.0,,,,,,65.0,,,,,,,,,,,,,,,,,,,1980.0,2841.0,,,,,,,,,,,,,,,,,,,
1981,Anwil,,,,,,,6.0,306.0,,,1981.0,2841.0,,,,,,65.0,,,,,,,,,,,,,,,,,,,1981.0,2841.0,,,,,,,,,,,,,,,,,,,
1982,Anwil,,,,,,,5.0,308.0,,,1982.0,2841.0,,,,,,65.0,,,,,,,,,,,,,,,,,,,1982.0,2841.0,,,,,,,,,,,,,,,,,,,
1983,Anwil,,,,,,,5.0,315.0,,,1983.0,2841.0,,,,,,65.0,,,,,,,,,,,,,,,,,,,1983.0,2841.0,,,,,,,,,,,,,,,,,,,
1984,Anwil,,,,,,,5.0,310.0,,,1984.0,2841.0,,,,,,65.0,,,,,,,,,,,,,,,,,,,1984.0,2841.0,,,,,,,,,,,,,,,,,,,
1985,Anwil,,,,,,,6.0,321.0,,,1985.0,2841.0,,,,,,65.0,,,,,,,,,,,,,,,,,,,1985.0,2841.0,,,,,,,,,,,,,,,,,,,
1986,Anwil,,,,,,,6.0,330.0,,,1986.0,2841.0,,,,,,65.0,,,,,,,,,,,,,,,,,,,1986.0,2841.0,,,,,,,,,,,,,,,,,,,
1987,Anwil,,,,,,,6.0,334.0,,,1987.0,2841.0,,,,,,65.0,,,,,,,,,,,,,,,,,,,1987.0,2841.0,,,,,,,,,,,,,,,,,,,
1988,Anwil,,,,,,,7.0,321.0,,,1988.0,2841.0,,,,,,65.0,,,,,,,,,,,,,,,,,,,1988.0,2841.0,,,,,,,,,,,,,,,,,,,
1989,Anwil,,,,,,,11.0,312.0,,,1989.0,2841.0,,,,,,65.0,,,,,,,,,,,,,,,,,,,1989.0,2841.0,,,,,,,,,,,,,,,,,,,
1990,Anwil,,,,,,,14.0,321.0,,,1990.0,2841.0,,,,,,65.0,,,,,,,,,,,,,,,,,,,1990.0,2841.0,,,,,,,,,,,,,,,,,,,
1991,Anwil,,,,,,,17.0,329.0,,,1991.0,2841.0,,,,,,57.0,,,,,,,,,,,,,,,,,,,1991.0,2841.0,,,,,,,,,,,,,,,,,,,
1992,Anwil,,,,,,,19.0,344.0,,,1992.0,2841.0,,,,,,57.0,,,,,,,,,,,,,,,,,,,1992.0,2841.0,,,,,,,,,,,,,,,,,,,
1993,Anwil,,,,,,,19.0,359.0,,,1993.0,2841.0,,,,,,57.0,,,,,,,,,,,,,,,,,,,1993.0,2841.0,,,,,,,,,,,,,,,,,,,
1994,Anwil,,,,,,,18.0,377.0,,,1994.0,2841.0,1994.0,2841.0,2.0,,,57.0,,,,,,,,,,,,,,,,,,,1994.0,2841.0,,,,,,,,,,,,,,,,,,,
1995,Anwil,,,,,,,24.0,407.0,,,1995.0,2841.0,1995.0,2841.0,6.0,,,57.0,,,,,,,,,,,,,,,,,,,1995.0,2841.0,,,,,,,,,,,,,,,,,,,
1996,Anwil,,,,,,,30.0,417.0,,,1996.0,2841.0,1996.0,2841.0,1.0,,,57.0,,,,,,,,,,,,,,,,,,,1996.0,2841.0,,,,,,,,,,,,,,,,,,,
1997,Anwil,,,,,,,28.0,418.0,,,1997.0,2841.0,1997.0,2841.0,10.0,,,57.0,,,,,,,,,,,,,,,,,,,1997.0,2841.0,,,,,,,,,,,,,,,,,,,
1998,Anwil,,,,,,,29.0,425.0,,,1998.0,2841.0,1998.0,2841.0,5.0,,,57.0,,,,,,,,,,,,,,,,,,,1998.0,2841.0,,,,,,,,,,,,,,,,,,,
1999,Anwil,,,,,,,35.0,440.0,,,1999.0,2841.0,1999.0,2841.0,5.0,,,57.0,,,,,,,,,,,,,,,,,,,1999.0,2841.0,,,,,,,,,,,,,,,,,,,
2000,Anwil,,,,,,,37.0,456.0,,,2000.0,2841.0,2000.0,2841.0,1.0,,,57.0,4.5,5.0,,,,,,,,,,,,,,,,,2000.0,2841.0,,,,,,,,,,,,,,,,,,,
2001,Anwil,,,,,,,32.0,468.0,,,2001.0,2841.0,2001.0,2841.0,3.0,,,57.0,4.5,5.0,,,,,,,,,,,,,,,,,2001.0,2841.0,,,,,,,,,,,,,,,,,,,
2002,Anwil,,,,,,,33.0,477.0,,,2002.0,2841.0,2002.0,2841.0,2.0,,,57.0,4.5,5.0,,,,,,,,,,,,,,,,,2002.0,2841.0,,,,,,,,,,,,,,,,,,,
