jahr,gemeinde_nummer,gemeinde,bfs_bezirk,bezirk,nationalitaet_code,nationalitaet,anzahl_personen
1980,2763,Arlesheim,1301,Bezirk Arlesheim,1,Schweiz,6774
1980,2763,Arlesheim,1301,Bezirk Arlesheim,2,Ausland,1690
1980,2770,Muttenz,1301,Bezirk Arlesheim,1,Schweiz,14735
1980,2770,Muttenz,1301,Bezirk Arlesheim,2,Ausland,2357
1980,2821,Arisdorf,1303,Bezirk Liestal,1,Schweiz,966
1980,2821,Arisdorf,1303,Bezirk Liestal,2,Ausland,53
1980,2822,Augst,1303,Bezirk Liestal,1,Schweiz,749
1980,2822,Augst,1303,Bezirk Liestal,2,Ausland,105
1980,2829,Liestal,1303,Bezirk Liestal,1,Schweiz,9293
1980,2829,Liestal,1303,Bezirk Liestal,2,Ausland,2447
1980,2841,Anwil,1304,Bezirk Sissach,1,Schweiz,307
1980,2841,Anwil,1304,Bezirk Sissach,2,Ausland,4
1980,2849,Itingen,1304,Bezirk Sissach,1,Schweiz,1037
1980,2849,Itingen,1304,Bezirk Sissach,2,Ausland,112
1980,2861,Sissach,1304,Bezirk Sissach,1,Schweiz,3964
1980,2861,Sissach,1304,Bezirk Sissach,2,Ausland,653
1980,2895,Waldenburg,1305,Bezirk Waldenburg,1,Schweiz,1036
1980,2895,Waldenburg,1305,Bezirk Waldenburg,2,Ausland,185
1981,2763,Arlesheim,1301,Bezirk Arlesheim,1,Schweiz,6886
1981,2763,Arlesheim,1301,Bezirk Arlesheim,2,Ausland,1693
1981,2770,Muttenz,1301,Bezirk Arlesheim,1,Schweiz,14600
1981,2770,Muttenz,1301,Bezirk Arlesheim,2,Ausland,2382
1981,2821,Arisdorf,1303,Bezirk Liestal,1,Schweiz,989
1981,2821,Arisdorf,1303,Bezirk Liestal,2,Ausland,50
1981,2822,Augst,1303,Bezirk Liestal,1,Schweiz,734
1981,2822,Augst,1303,Bezirk Liestal,2,Ausland,107
1981,2829,Liestal,1303,Bezirk Liestal,1,Schweiz,9243
1981,2829,Liestal,1303,Bezirk Liestal,2,Ausland,2577
1981,2841,Anwil,1304,Bezirk Sissach,1,Schweiz,306
1981,2841,Anwil,1304,Bezirk Sissach,2,Ausland,6
1981,2849,Itingen,1304,Bezirk Sissach,1,Schweiz,1025
1981,2849,Itingen,1304,Bezirk Sissach,2,Ausland,105
1981,2861,Sissach,1304,Bezirk Sissach,1,Schweiz,3976
1981,2861,Sissach,1304,Bezirk Sissach,2,Ausland,690
1981,2895,Waldenburg,1305,Bezirk Waldenburg,1,Schweiz,1041
1981,2895,Waldenburg,1305,Bezirk Waldenburg,2,Ausland,189
1982,2763,Arlesheim,1301,Bezirk Arlesheim,1,Schweiz,6912
1982,2763,Arlesheim,1301,Bezirk Arlesheim,2,Ausland,1671
1982,2770,Muttenz,1301,Bezirk Arlesheim,1,Schweiz,14745
1982,2770,Muttenz,1301,Bezirk Arlesheim,2,Ausland,2365
1982,2821,Arisdorf,1303,Bezirk Liestal,1,Schweiz,992
1982,2821,Arisdorf,1303,Bezirk Liestal,2,Ausland,53
1982,2822,Augst,1303,Bezirk Liestal,1,Schweiz,743
1982,2822,Augst,1303,Bezirk Liestal,2,Ausland,110
1982,2829,Liestal,1303,Bezirk Liestal,1,Schweiz,9129
1982,2829,Liestal,1303,Bezirk Liestal,2,Ausland,2565
1982,2841,Anwil,1304,Bezirk Sissach,1,Schweiz,308
1982,2841,Anwil,1304,Bezirk Sissach,2,Ausland,5
1982,2849,Itingen,1304,Bezirk Sissach,1,Schweiz,1052
1982,2849,Itingen,1304,Bezirk Sissach,2,Ausland,118
1982,2861,Sissach,1304,Bezirk Sissach,1,Schweiz,3980
1982,2861,Sissach,1304,Bezirk Sissach,2,Ausland,691
1982,2895,Waldenburg,1305,Bezirk Waldenburg,1,Schweiz,1039
1982,2895,Waldenburg,1305,Bezirk Waldenburg,2,Ausland,190
1983,2763,Arlesheim,1301,Bezirk Arlesheim,1,Schweiz,6908
