jahr,bfs_nummer,bfs_bezeichnung,administrative_ebene,indikator,wirtschaftssektor,anzahl
2020,2895,Waldenburg,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2020,2895,Waldenburg,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2020,2895,Waldenburg,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2020,2895,Waldenburg,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,4
2019,2763,Arlesheim,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2019,2763,Arlesheim,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,31
2019,2763,Arlesheim,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,4
2019,2763,Arlesheim,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,40
2019,2770,Muttenz,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,9
2019,2770,Muttenz,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,55
2019,2770,Muttenz,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,7
2019,2770,Muttenz,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,68
2019,2821,Arisdorf,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2019,2821,Arisdorf,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,5
2019,2821,Arisdorf,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2019,2821,Arisdorf,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,4
2019,2822,Augst,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2019,2822,Augst,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,4
2019,2822,Augst,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2019,2822,Augst,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,11
2019,2829,Liestal,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,8
2019,2829,Liestal,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,49
2019,2829,Liestal,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,9
2019,2829,Liestal,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,59
2019,2841,Anwil,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2019,2841,Anwil,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2019,2841,Anwil,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2019,2841,Anwil,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2019,2849,Itingen,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2019,2849,Itingen,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,7
2019,2849,Itingen,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2019,2849,Itingen,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,4
2019,2861,Sissach,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,4
2019,2861,Sissach,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,31
2019,2861,Sissach,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2019,2861,Sissach,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,19
2019,2895,Waldenburg,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2019,2895,Waldenburg,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2019,2895,Waldenburg,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2019,2895,Waldenburg,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2018,2763,Arlesheim,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2018,2763,Arlesheim,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,37
2018,2763,Arlesheim,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2018,2763,Arlesheim,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,34
2018,2770,Muttenz,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,10
2018,2770,Muttenz,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,53
2018,2770,Muttenz,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,5
