jahr,bfs_nummer,gemeinde,indikator,wert
2022,2821,Arisdorf,Anzahl_Steuerpflichtige,1051.0
2022,2829,Liestal,Anzahl_Steuerpflichtige,9716.0
2022,2849,Itingen,Anzahl_Steuerpflichtige,1368.0
2022,2821,Arisdorf,Steuerbares_Einkommen_CHF,74295978.0
2021,2895,Waldenburg,Anzahl_Steuerpflichtige,740.0
2021,2763,Arlesheim,Steuerbares_Einkommen_CHF,501980688.0
2021,2821,Arisdorf,Steuerbares_Einkommen_CHF,70501874.0
2021,2829,Liestal,Steuerbares_Einkommen_CHF,585929829.0
2021,2895,Waldenburg,Steuerbares_Einkommen_CHF,36554928.0
2020,2770,Muttenz,Anzahl_Steuerpflichtige,11107.0
2019,2763,Arlesheim,Anzahl_Steuerpflichtige,5898.0
2019,2770,Muttenz,Anzahl_Steuerpflichtige,11078.0
2019,2821,Arisdorf,Anzahl_Steuerpflichtige,1019.0
2019,2822,Augst,Anzahl_Steuerpflichtige,667.0
2019,2829,Liestal,Anzahl_Steuerpflichtige,9011.0
2019,2841,Anwil,Anzahl_Steuerpflichtige,339.0
2019,2849,Itingen,Anzahl_Steuerpflichtige,1223.0
2019,2861,Sissach,Anzahl_Steuerpflichtige,4160.0
2019,2895,Waldenburg,Anzahl_Steuerpflichtige,715.0
2019,2763,Arlesheim,Steuerbares_Einkommen_CHF,516429749.0
2019,2770,Muttenz,Steuerbares_Einkommen_CHF,776135172.0
2019,2821,Arisdorf,Steuerbares_Einkommen_CHF,71871032.0
2019,2822,Augst,Steuerbares_Einkommen_CHF,43974449.0
2019,2829,Liestal,Steuerbares_Einkommen_CHF,554017737.0
2019,2841,Anwil,Steuerbares_Einkommen_CHF,18955513.0
2019,2849,Itingen,Steuerbares_Einkommen_CHF,79357141.0
2019,2861,Sissach,Steuerbares_Einkommen_CHF,287305505.0
2019,2895,Waldenburg,Steuerbares_Einkommen_CHF,35420765.0
2018,2821,Arisdorf,Anzahl_Steuerpflichtige,1007.0
2018,2841,Anwil,Anzahl_Steuerpflichtige,338.0
2018,2849,Itingen,Anzahl_Steuerpflichtige,1232.0
2018,2861,Sissach,Anzahl_Steuerpflichtige,4154.0
2018,2895,Waldenburg,Anzahl_Steuerpflichtige,701.0
2018,2763,Arlesheim,Steuerbares_Einkommen_CHF,556788234.0
2018,2821,Arisdorf,Steuerbares_Einkommen_CHF,70704006.0
2018,2829,Liestal,Steuerbares_Einkommen_CHF,543631957.0
2018,2861,Sissach,Steuerbares_Einkommen_CHF,287536006.0
2014,2861,Sissach,Anzahl_Steuerpflichtige,4046.0
2014,2895,Waldenburg,Anzahl_Steuerpflichtige,759.0
2014,2861,Sissach,Steuerbares_Einkommen_CHF,266583765.0
2013,2822,Augst,Anzahl_Steuerpflichtige,572.0
2013,2849,Itingen,Anzahl_Steuerpflichtige,1184.0
2013,2861,Sissach,Anzahl_Steuerpflichtige,3996.0
2013,2895,Waldenburg,Anzahl_Steuerpflichtige,750.0
2013,2770,Muttenz,Steuerbares_Einkommen_CHF,710086343.0
2013,2841,Anwil,Steuerbares_Einkommen_CHF,18561458.0
2013,2895,Waldenburg,Steuerbares_Einkommen_CHF,36500176.0
2022,2861,Sissach,Anzahl_Steuerpflichtige,4293.0
2022,2763,Arlesheim,Steuerbares_Einkommen_CHF,520393307.0
2022,2770,Muttenz,Steuerbares_Einkommen_CHF,776145453.0
2022,2822,Augst,Steuerbares_Einkommen_CHF,44175142.0
2022,2829,Liestal,Steuerbares_Einkommen_CHF,602393010.0
2022,2861,Sissach,Steuerbares_Einkommen_CHF,297959073.0
2020,2763,Arlesheim,Anzahl_Steuerpflichtige,5970.0
2014,2821,Arisdorf,Steuerbares_Einkommen_CHF,66006436.0
2014,2822,Augst,Steuerbares_Einkommen_CHF,34337081.0
2014,2829,Liestal,Steuerbares_Einkommen_CHF,520190759.0
2014,2841,Anwil,Steuerbares_Einkommen_CHF,18252484.0
2014,2849,Itingen,Steuerbares_Einkommen_CHF,74031684.0
2013,2770,Muttenz,Anzahl_Steuerpflichtige,10821.0
2013,2829,Liestal,Anzahl_Steuerpflichtige,8555.0
2013,2841,Anwil,Anzahl_Steuerpflichtige,321.0
2013,2821,Arisdorf,Steuerbares_Einkommen_CHF,67272696.0
2013,2861,Sissach,Steuerbares_Einkommen_CHF,255592686.0
2022,2841,Anwil,Steuerbares_Einkommen_CHF,19424990.0
2021,2763,Arlesheim,Anzahl_Steuerpflichtige,6000.0
2021,2770,Muttenz,Anzahl_Steuerpflichtige,11121.0
2021,2821,Arisdorf,Anzahl_Steuerpflichtige,1059.0
2021,2822,Augst,Anzahl_Steuerpflichtige,681.0
2021,2829,Liestal,Anzahl_Steuerpflichtige,9556.0
2021,2841,Anwil,Anzahl_Steuerpflichtige,324.0
2021,2849,Itingen,Anzahl_Steuerpflichtige,1343.0
2021,2861,Sissach,Anzahl_Steuerpflichtige,4287.0
2020,2829,Liestal,Anzahl_Steuerpflichtige,9318.0
2020,2841,Anwil,Anzahl_Steuerpflichtige,335.0
2020,2849,Itingen,Anzahl_Steuerpflichtige,1261.0
2020,2895,Waldenburg,Anzahl_Steuerpflichtige,725.0
2020,2763,Arlesheim,Steuerbares_Einkommen_CHF,493530482.0
2020,2770,Muttenz,Steuerbares_Einkommen_CHF,765301301.0
2020,2821,Arisdorf,Steuerbares_Einkommen_CHF,71477535.0
2020,2822,Augst,Steuerbares_Einkommen_CHF,43050824.0
2020,2841,Anwil,Steuerbares_Einkommen_CHF,18989914.0
2020,2849,Itingen,Steuerbares_Einkommen_CHF,80438798.0
2018,2763,Arlesheim,Anzahl_Steuerpflichtige,5838.0
2018,2770,Muttenz,Anzahl_Steuerpflichtige,11011.0
