jahr,quartal,gemeinde_nummer,gemeinde,bezirk_nummer,bezirk,anfangsbestand,geburten,todesfaelle,geburtenueberschuss,zuzuege,wegzuege,wanderungssaldo,bereinigung_saldo,gesamtveraenderung,endbestand
2025,3,2763,Arlesheim,1301,Bezirk Arlesheim,9311,20,20,0,173,159,14,0,14,9325
2025,3,2770,Muttenz,1301,Bezirk Arlesheim,18196,34,50,-16,285,253,32,0,16,18212
2025,3,2821,Arisdorf,1303,Bezirk Liestal,1742,3,4,-1,36,34,2,0,1,1743
2025,3,2822,Augst,1303,Bezirk Liestal,1116,4,2,2,40,30,10,0,12,1128
2025,3,2829,Liestal,1303,Bezirk Liestal,16161,39,37,2,364,367,-3,0,-1,16160
2025,3,2841,Anwil,1304,Bezirk Sissach,559,1,0,1,6,6,0,0,1,560
2025,3,2849,Itingen,1304,Bezirk Sissach,2508,8,6,2,33,45,-12,0,-10,2498
2025,3,2861,Sissach,1304,Bezirk Sissach,6971,21,14,7,122,110,12,0,19,6990
2025,3,2895,Waldenburg,1305,Bezirk Waldenburg,1155,1,2,-1,38,37,1,0,0,1155
2025,2,2763,Arlesheim,1301,Bezirk Arlesheim,9321,18,27,-9,133,134,-1,0,-10,9311
2025,2,2770,Muttenz,1301,Bezirk Arlesheim,18208,29,42,-13,211,210,1,0,-12,18196
2025,2,2821,Arisdorf,1303,Bezirk Liestal,1741,2,4,-2,35,32,3,0,1,1742
2025,2,2822,Augst,1303,Bezirk Liestal,1102,1,6,-5,42,23,19,0,14,1116
2025,2,2829,Liestal,1303,Bezirk Liestal,16153,46,39,7,320,319,1,0,8,16161
2025,2,2841,Anwil,1304,Bezirk Sissach,561,0,1,-1,7,8,-1,0,-2,559
2025,2,2849,Itingen,1304,Bezirk Sissach,2483,7,5,2,50,27,23,0,25,2508
2025,2,2861,Sissach,1304,Bezirk Sissach,6950,12,14,-2,129,106,23,0,21,6971
2025,2,2895,Waldenburg,1305,Bezirk Waldenburg,1133,1,4,-3,55,30,25,0,22,1155
2025,1,2763,Arlesheim,1301,Bezirk Arlesheim,9337,13,22,-9,128,135,-7,0,-16,9321
2025,1,2770,Muttenz,1301,Bezirk Arlesheim,18189,33,50,-17,256,220,36,0,19,18208
2025,1,2821,Arisdorf,1303,Bezirk Liestal,1779,3,6,-3,24,59,-35,0,-38,1741
2025,1,2822,Augst,1303,Bezirk Liestal,1106,0,2,-2,37,39,-2,0,-4,1102
2025,1,2829,Liestal,1303,Bezirk Liestal,16126,36,38,-2,304,275,29,0,27,16153
2025,1,2841,Anwil,1304,Bezirk Sissach,561,0,0,0,6,6,0,0,0,561
2025,1,2849,Itingen,1304,Bezirk Sissach,2483,5,4,1,32,33,-1,0,0,2483
2025,1,2861,Sissach,1304,Bezirk Sissach,6924,15,23,-8,119,85,34,0,26,6950
2025,1,2895,Waldenburg,1305,Bezirk Waldenburg,1148,4,3,1,30,46,-16,0,-15,1133
2024,4,2763,Arlesheim,1301,Bezirk Arlesheim,9334,14,24,-10,118,105,13,0,3,9337
2024,4,2770,Muttenz,1301,Bezirk Arlesheim,18284,34,47,-13,180,262,-82,0,-95,18189
2024,4,2821,Arisdorf,1303,Bezirk Liestal,1781,3,6,-3,30,29,1,0,-2,1779
2024,4,2822,Augst,1303,Bezirk Liestal,1098,3,1,2,29,23,6,0,8,1106
2024,4,2829,Liestal,1303,Bezirk Liestal,16099,47,38,9,312,294,18,0,27,16126
2024,4,2841,Anwil,1304,Bezirk Sissach,551,0,0,0,16,6,10,0,10,561
2024,4,2849,Itingen,1304,Bezirk Sissach,2479,6,7,-1,38,33,5,0,4,2483
2024,4,2861,Sissach,1304,Bezirk Sissach,6899,9,11,-2,118,91,27,0,25,6924
2024,4,2895,Waldenburg,1305,Bezirk Waldenburg,1162,1,3,-2,35,47,-12,0,-14,1148
2024,3,2763,Arlesheim,1301,Bezirk Arlesheim,9348,17,28,-11,183,186,-3,0,-14,9334
2024,3,2770,Muttenz,1301,Bezirk Arlesheim,18318,26,32,-6,245,273,-28,0,-34,18284
2024,3,2821,Arisdorf,1303,Bezirk Liestal,1766,2,4,-2,42,25,17,0,15,1781
2024,3,2822,Augst,1303,Bezirk Liestal,1098,2,3,-1,35,34,1,0,0,1098
2024,3,2829,Liestal,1303,Bezirk Liestal,16012,39,35,4,457,374,83,0,87,16099
2024,3,2841,Anwil,1304,Bezirk Sissach,547,3,0,3,7,6,1,0,4,551
2024,3,2849,Itingen,1304,Bezirk Sissach,2482,3,2,1,41,45,-4,0,-3,2479
2024,3,2861,Sissach,1304,Bezirk Sissach,6901,11,12,-1,133,134,-1,0,-2,6899
