periode,raum,bezirk_code,bezirk_text,gemeinde_code,gemeinde_text,anzahl_zimmer,beobachtungen,schatzwert,schatzbereich_von,schatzbereich_bis,vi_absolut,genauigkeit
2010/2014,BL,1301,Bezirk Arlesheim,2763,Arlesheim,Total,532.0,1509.930258037844,1457.4247272079501,1562.4357888677378,52.50553082989385,Schätzwert zuverlässig
2010/2014,BL,1301,Bezirk Arlesheim,2770,Muttenz,Total,1159.0,1383.2589345619529,1355.916131579656,1410.6017375442498,27.34280298229682,Schätzwert zuverlässig
2010/2014,BL,1303,Bezirk Liestal,2821,Arisdorf,Total,27.0,1323.4870880043466,1132.8199854893824,1514.1541905193108,190.6671025149641,Schätzwert bedingt zuverlässig
2010/2014,BL,1303,Bezirk Liestal,2822,Augst,Total,35.0,1186.0885709308052,1047.620192284902,1324.5569495767083,138.46837864590307,Schätzwert bedingt zuverlässig
2010/2014,BL,1303,Bezirk Liestal,2829,Liestal,Total,775.0,1344.425142041142,1312.9358639439383,1375.9144201383456,31.489278097203602,Schätzwert zuverlässig
2010/2014,BL,1304,Bezirk Sissach,2841,Anwil,Total,11.0,1454.0502129122128,1292.2763875871854,1615.8240382372403,161.77382532502745,Schätzwert bedingt zuverlässig
2010/2014,BL,1304,Bezirk Sissach,2849,Itingen,Total,71.0,1552.7195921213133,1376.6600386852033,1728.7791455574234,176.0595534361101,Schätzwert zuverlässig
2010/2014,BL,1304,Bezirk Sissach,2861,Sissach,Total,356.0,1415.183462417752,1365.8562040273198,1464.5107208081843,49.32725839043222,Schätzwert zuverlässig
2010/2014,BL,1305,Bezirk Waldenburg,2895,Waldenburg,Total,51.0,1155.758837756888,1050.1485516962491,1261.3691238175268,105.6102860606388,Schätzwert zuverlässig
2010/2014,BL,1301,Bezirk Arlesheim,2763,Arlesheim,1-2,68.0,1088.6179674259172,1014.3631665391616,1162.8727683126729,74.2548008867556,Schätzwert zuverlässig
2010/2014,BL,1301,Bezirk Arlesheim,2763,Arlesheim,3,188.0,1321.7113204948791,1272.180704193035,1371.2419367967234,49.53061630184422,Schätzwert zuverlässig
2010/2014,BL,1301,Bezirk Arlesheim,2763,Arlesheim,4,201.0,1700.9157611053902,1620.4712667140077,1781.3602554967727,80.44449439138245,Schätzwert zuverlässig
2010/2014,BL,1301,Bezirk Arlesheim,2763,Arlesheim,5+,75.0,2486.6577254262943,2269.987391639611,2703.3280592129777,216.67033378668336,Schätzwert zuverlässig
2010/2014,BL,1301,Bezirk Arlesheim,2770,Muttenz,1-2,121.0,901.317222943277,848.774587761461,953.859858125093,52.54263518181601,Schätzwert zuverlässig
2010/2014,BL,1301,Bezirk Arlesheim,2770,Muttenz,3,460.0,1295.0988583789363,1267.7501045471502,1322.4476122107224,27.34875383178599,Schätzwert zuverlässig
2010/2014,BL,1301,Bezirk Arlesheim,2770,Muttenz,4,418.0,1584.4670480432133,1543.9037314909942,1625.0303645954323,40.56331655221891,Schätzwert zuverlässig
2010/2014,BL,1301,Bezirk Arlesheim,2770,Muttenz,5+,160.0,1883.4494940844113,1778.6261160727172,1988.2728720961054,104.82337801169403,Schätzwert zuverlässig
2010/2014,BL,1303,Bezirk Liestal,2821,Arisdorf,1-2,,,,,,Kein Schätzwert (vertraulich)
2010/2014,BL,1303,Bezirk Liestal,2821,Arisdorf,3,6.0,1296.5454604608356,1218.1452151497547,1374.9457057719164,78.40024531108095,Schätzwert bedingt zuverlässig
2010/2014,BL,1303,Bezirk Liestal,2821,Arisdorf,4,11.0,1486.2472477473036,1269.7163961687065,1702.7780993259007,216.530851578597,Schätzwert bedingt zuverlässig
2010/2014,BL,1303,Bezirk Liestal,2821,Arisdorf,5+,6.0,1738.612926007518,1352.4073193026293,2124.8185327124065,386.2056067048886,Schätzwert bedingt zuverlässig
2010/2014,BL,1303,Bezirk Liestal,2822,Augst,1-2,8.0,818.2216878943115,671.9699672480011,964.4734085406218,146.25172064631033,Schätzwert bedingt zuverlässig
2010/2014,BL,1303,Bezirk Liestal,2822,Augst,3,15.0,1215.223100486456,1081.353573947835,1349.0926270250768,133.86952653862085,Schätzwert bedingt zuverlässig
2010/2014,BL,1303,Bezirk Liestal,2822,Augst,4,8.0,1493.9017004690304,1395.1596850109693,1592.6437159270915,98.74201545806112,Schätzwert bedingt zuverlässig
2010/2014,BL,1303,Bezirk Liestal,2822,Augst,5+,,,,,,Kein Schätzwert (vertraulich)
2010/2014,BL,1303,Bezirk Liestal,2829,Liestal,1-2,118.0,1014.5773047916025,961.510304840744,1067.644304742461,53.06699995085853,Schätzwert zuverlässig
2010/2014,BL,1303,Bezirk Liestal,2829,Liestal,3,288.0,1277.0230980823499,1236.1346320558134,1317.9115641088863,40.88846602653634,Schätzwert zuverlässig
2010/2014,BL,1303,Bezirk Liestal,2829,Liestal,4,297.0,1506.4106751080935,1459.6409635804823,1553.1803866357047,46.76971152761128,Schätzwert zuverlässig
2010/2014,BL,1303,Bezirk Liestal,2829,Liestal,5+,72.0,1991.0065492559374,1849.5668404584937,2132.446258053381,141.43970879744364,Schätzwert zuverlässig
2010/2014,BL,1304,Bezirk Sissach,2841,Anwil,3,,,,,,Kein Schätzwert (vertraulich)
2010/2014,BL,1304,Bezirk Sissach,2841,Anwil,4,7.0,1464.3658752175895,1335.4311386888326,1593.3006117463465,128.93473652875693,Schätzwert bedingt zuverlässig
2010/2014,BL,1304,Bezirk Sissach,2841,Anwil,5+,,,,,,Kein Schätzwert (vertraulich)
